阙题（明·徐汝栻）　　七言绝句　押侵韵	莫问武陵可易寻，行行遥望隔云林。桃花流水无人问，一路仙源信几深。
琼岛（明·徐汝栻）　　七言绝句　押灰韵	松关风掩白云开，春暖壶天万象回。花落莫随流水去，恐教渔父问津来①。
舍利塔诗（明·徐汝栻）　　七言绝句　押删韵	佛老尘音杳莫扳，空馀一塔倚云间。不知当日遨游者，几见灵光照此山①。
