闻潮（明·永瑛）　　七言绝句　押支韵	闲倚青松读古诗，杭标霅昼旧相知。山僧不刻莲花漏，潮白江门报午时。
宿梦石房（明·永瑛）　　七言绝句　押东韵	坐久青灯结晕红，纸窗寒逗落花风。西斋试与吟春草，夜半开门月正中。
山居志感（明·永瑛）	江鸥只驯水，野鹤不受笼。孰云游方士，肯为尘所蒙。风清紫芝谷，月白青莲峰。学道岁未晚，寻师吾远从。
