从化道中（明·邝元阳）　　七言绝句　押齐韵	日斜骤雨涨山溪，禾黍青青松叶齐。二十年来游走地，鹧鸪何事隔林啼①。
水车（明·邝元阳）　　押先韵	上天沛时雨，须臾弥山川。阴阳苟不和，原隰尽涓涓。所以云汉词，众正忧且癫。虽有桔槔劳，泽浅终徒然。何如水车制，驾彼溪涧边。截竹刳长木，轮毂日周旋。□取江河水，一泻如流泉。滔滔靡昼夜，溉彼千亩田。荷锄理沟浍，坐使成洄漩。岁岁无旱忧，处处皆丰年。始知人力巧，可以胜旻天。
宿鬼湖（明·邝元阳）　　押尤韵	矅灵颓西山，寒风忽飕飕。舟人畏前路，独向鬼湖休。断岸高如墉，渊水停不流。静听无人声，怪鸟鸣啾啾。元云蔽四野，零雨正滂流。明烛短蓬下，寂寞令我愁。天地岂不广，吾生长远游。人情未易测，鬼湖何足忧。
