雨夜（明·薛素素）　　七言绝句　押萧韵	江城漏转夜超超，坐向芳尊叹寂寥。挑尽银灯愁不尽，满庭疏雨湿芭蕉。
画兰竹题赠苏时钦（明·薛素素）　　七言绝句　押江韵	翠竹幽兰入画双，清芬劲节伴闲窗。知君已得峨眉秀，我亦前身在锦江。
怀人诗（明·薛素素）　　七言绝句　押微韵	良夜思君归不归，孤灯照客影微微。携来独枕谁相问，明月空庭泪湿衣。
临江仙（明·薛素素）	唤起提壶池上饮，春残满地红英。忽闻墙外子规声，不如归去也，终是不分明。自抱云和弹一曲，曲终还拟湘灵。风前泪眼几时晴，月高星数点，香冷漏三更。
