避暑湖光山色楼二首（明·释元璞）　　七言绝句　押虞韵	回溪断岸柳阴疏，酒舍渔家竹径迂。一片湖光暮云隔，荷花荷叶带平芜。
金粟影（白野达兼善隶颜）（明·释元璞）　　七言绝句　押东韵	幽香栏槛绝低小，浑似毗耶丈室空。金粟花浮双树月，白莲香散一池风。
秋华亭槜李鲜于伯几篆颜）（明·释元璞）　　七言排律　押先韵	片玉山西境绝偏，秋华亭子最清妍。三峰秀割昆仑石，一沼深通渤澥渊。鹦鹉隔窗留客语，芙蓉映水使人怜。桂丛旧赋淮南隐，雪夜尝回剡曲船。北海樽中常潋滟，东山席上有婵娟。紫薇花照银瓶酒，玉树人调锦瑟弦。醉过竹间风乍起，吟行梧下月初悬。一声白鹤随归佩，何处重寻小有天。
