赠别傅生（明·齐景云）　　七言绝句　押庚韵	一呷春醪万里情，断肠芳草断肠莺。愿将双泪啼为雨，明日留君不出城。
望江南 怀婢（明·齐景云）	思昔日，披发亸香肩。帘外落花浓似雾，枕边飞絮软于绵。斜日照雕栏。
浣溪沙（明·齐景云）	晓起无人上玉钩。迟迟日午怯梳头。罗衣绣帕冷香篝。满眼落红粘别泪，一天疏雨织春愁。倚栏无语暗凝眸。
虞美人第二体（明·齐景云）	双涡红晕檀霞满。钿镜横波远。宿妆无奈是春前。刘郎洞口谢娘船。思无边。鹌鹑啄破赪桐叶。云掩圆蟾截。小楼回首绿烟迷。微风半夜揭珠帏。认郎归。
