灵洲鳌负（明·郑懋纬）　　五言绝句　押尤韵	南海衣冠盛，灵洲水面浮。树深归野鹤，江晚系渔舟。
蒲涧帘泉（明·郑懋纬）　　五言绝句　押先韵	百丈泻流泉，寒光净野烟。涧蒲多九节，服食挟飞仙。
越台秋月（明·郑懋纬）　　五言绝句　押元韵	秋风台上起，霸气至今存。月色长空满，凄清引啸猿。
石门返照（明·郑懋纬）　　五言绝句　押删韵	日落清江外，云封石壁间。不知斜照里，还见万重山。
白云晚望（明·郑懋纬）　　五言绝句　押冬韵	向夕山容敛，清秋入望重。白云飞不尽，高挂涧边松。
景泰僧归（明·郑懋纬）　　五言绝句　押遇韵	山寺净松筠，藤萝蔓径路。云深僧始归，长啸空林暮。
扶胥浴日（明·郑懋纬）　　五言绝句	孤亭临海涯，爽籁清炎暑。夜午浴红轮，隐隐千林曙。
大通烟雨（明·郑懋纬）　　五言绝句　押灰韵	积雨迷江岸，炊烟逗草莱。鸥群飞不见，帆影望中回①。
咏史（明·郑懋纬）	仲连蹈东海，子房托赤松。奇策既已奏，何不终三公。富贵固所愿，明哲在保躬。文叔为天子，羊裘潜孤踪。轩冕世所艳，宁甘富川翁。念彼千载人，抗志罕所同。冥鸿自高飞，焉能羁樊笼。
