江上（明·李桂）　　七言绝句　押尤韵	鲤鱼风起荻花秋，露压蒹葭水不流。何处津亭夜吹笛，白云溪月总关愁①。
皇城燕（明·李桂）	皇城燕，皇城燕。朝朝暮暮时相见。去年哺子白玉阶，今年落羽黄金殿。双双斜掠东风飞，不识春光几回换。天门十二去还来，香泥时涴龙盘砚。可怜鹦鹉解能言，十年不见昭阳面。
杨白花（明·李桂）	杨白花，花开白如雪。东风一夕入帘笼，摇荡春心度芳樾。御沟流水无回时，长条尚绾重门月。三十六宫离恨长，不随明月同圆缺。
