仙居吟（明·张金）　　七言绝句　押冬韵	寻常不到山前路，洞口闲云尽日封。时有听经童子至，不知身是石潭龙。
古塘即事（明·张金）　　七言绝句　押麻韵	布谷声中日又斜，石桥流水两三家。乡村春色无人管，开尽棠梨几树花。
雨中泊太仓州（明·张金）　　押庚韵	太仓城河潮水生，石桥西下官鼓鸣。客子思家孤梦远，舟人刺船双橹轻。横风倒海浪作势，急雨过山云不行。暂时系缆小港口，城门击柝闻初更。
