慧花园杂咏（明·罗应耳）　　七言绝句　押鱼韵	晴天一线午风疏，钓得秋江二尺鱼。去换松花三两斗，欲招閒客看葵蔬。
长门怨（明·罗应耳）　　七言绝句　押阳韵	月明风细度昭阳，魂梦空劳独夜长。少小入宫歌且舞，娥眉犹未识君王。
咏双鹤（明·罗应耳）　　七言绝句　押微韵	仙姿雪色自相依，日月笼中影欲飞。同是云天双羽翼，长鸣不逐雁行归①。
