石湖绝句和王履吉（明·文嘉）　　七言绝句　押麻韵	鵁鶄鸂鶒满晴沙，红杏夭桃乱着花。十里湖山开画障，一双小艇载琵琶。
杂题（明·文嘉）　　七言绝句　押尤韵	空江木落思悠悠，闲傍蒹葭弄小舟。一段清光君独占，底须回首羡轻鸥。
无题（明·文嘉）　　七言绝句　押阳韵	月明庭院已昏黄，团扇风轻夜渐凉。自折花枝调鹦鹉，不知金殿锁鸳鸯。
今日歌（明·文嘉）	今日复今日，今日何其少。今日又不为，此事何时了。人生百年几今日，今日不为真可惜。若言姑待明朝至，明朝又有明朝事。为君聊赋今日诗，努力请从今日始。
明日歌（明·文嘉）	明日复明日，明日何其多。日日待明日，万事成蹉跎。世人皆被明日累，明日无穷老将至。晨昏滚滚水流东，今古悠悠日西坠。百年明日能几何？请君听我明日歌。
