梧峰夕照（明·谢天与）　　七言绝句　押麻韵	木落江空日已斜，半山红影半山霞。更兼寒带梅花角，送入苍茫闪闪鸦。
桂岫晴岚（明·谢天与）　　七言绝句　押尤韵	山拥岚光翠欲流，桂花凉转雁迎秋。尧天不老人今古，物色经看几白头。
宝江渔唱（明·谢天与）　　七言绝句　押青韵	扁舟一叶次寒汀，云影烟光献画屏。歌罢酒阑人醉后，空馀鸥外数峰青。
石径樵归（明·谢天与）　　七言绝句　押萧韵	云石苍凉径路遥，一声啼鸟背归樵。行边若得仙棋看，不管斜晖转树腰。
龙津晚渡（明·谢天与）　　七言绝句　押真韵	夕阳西坠暝云津，簇立东风唤渡频。老尽往来名利客，不知谁是傅岩人。
东埔春耕（明·谢天与）　　七言绝句　押元韵	一蓑烟雨耨黄昏，半掩柴扉绿野村。借问庞公今去远，高风谁共此中论。
龟峰宝塔（明·谢天与）　　七言绝句　押庚韵	屹屹孤峰万古名，浮图高耸入秋晴。望中好似昂天笔，倒写云笺雁字横。
燕石长亭（明·谢天与）　　七言绝句	雨湿云根燕不声，离魂消处一长亭。因思南浦江淹笔，草绿波光是此情①。
