款歌序 其一（明·袁举）　　七言绝句　押青韵	红白芙蓉照画屏，秋波如镜照娉婷。并头花似双蛾脸，一朵浓酣一朵醒。
乙巳寒食（明·袁举）	香风吹面东方来，樱桃花发柳眼开。鸾箫声歇幽兰笑，十二楼前青爵叫。王母骑龙愁暮云，碧桃过眼三千春。北山佳城久无主，寒食心摧泪如雨。自惊发薄不胜梳，心事波摇为谁语。
舟过三江口（明·袁举）	吴淞合流三百里，一幅蒲帆挂春水。青山绕船黄鸟啼，盘回如在巴渝里。沙上游龙滴血红，风吹老鱼浪花起。凝云不流神妪哭，万古胥魂招不复。客浩歌，谁相续，栖迟零落渐离筑。思家何处问迷津，鹧鸪声里垂杨绿。
