挽沈宛君诗（明·沈宪英）　　七言绝句　押灰韵	楼上春深乳燕来，半帘花影自徘徊。子规声里黄昏月，叫断东风梦不回。
哭昭齐姊（明·沈宪英）　　七言绝句　押侵韵	云散遥天锁碧岑，人间无路月沉沉。可怜寒食梨花夜，依旧春风小院深。
花下忆琼章姊（明·沈宪英）　　七言绝句　押文韵	弱水蓬山梦不分，红笺无处寄行云。海棠睡醒清宵月，影入纱窗疑是君。
点绛唇 忆琼章姊（明·沈宪英）	帘外轻寒，谢娘风絮无人见。桃花如面，肠断春归燕。人去瑶台，只觉东风贱。湘帘卷，绿杨千线，烟锁深深院。
点绛唇 早春（明·沈宪英）	帘幕轻寒，断肠渐入东风片。游丝千线。难挽离愁半。小立回廊，划损雕栏面。春谁见。梅花开遍。烟锁深深院。
虞美人 留别兰馀妹（明·沈宪英）	白云掩映青山老。鬓入霜华早。今宵且醉画屏前，明日还移小艇、绿杨烟。黄昏细雨重门锁。挑尽孤灯火。断肠无处问天公，梦逐陌头芳草、付残红。
满庭芳 中秋坐月，和素嘉甥女（明·沈宪英）	萤火流光，蛩吟向夕，冰轮碾破瑶天。香飘云外，桂子静娟娟。对月几人无恙，多半隔、远树苍烟。难逢是、一庭联袂。把盏看重圆。无限凄凉况，含毫欲写，累纸盈笺。任金风拂面，玉露侵肩。还惜良宵景促，无绳系、皓魄长悬。应飞去，广寒宫里，清影共愁眠。
水龙吟 胥江竞渡（明·沈宪英）	熏风池馆新篁，片红飞尽惊梅雨。纨扇初裁，罗衣乍试，又逢重午。万户千门，游人争出，俱悬艾虎。看碧蒲萦恨，朱榴沾醉，似续离骚旧谱。惆怅韶华易换，最关心、画船箫鼓。当年沉水，今朝寒食，依然荆楚。抉目城边，捧心台畔，恨垂千古。霎时间惟见，清江一曲，绿蓑渔夫。
