即事（明末清初·刘体仁）　　七言绝句　押蒸韵	西湖小阁多延月，好友同舟半是僧。寄语江南老桑苎，秋山紫蕨忆行縢。
送戴务旃游华山（明末清初·刘体仁）　　押陌韵	夜谈太华奇，朝来理轻策。似子独往意，自然生羽翮。我无济胜具，心悬神仙宅。椓壁闻蚁缘，索度或猱掷。即至玉女盆，莲花岂堪摘？颇穷造化由，能识巨灵擘。一身出天地，笑看培塿积。归来毛髓异，定跨茅龙脊。
寄阮亭司理（明末清初·刘体仁）　　押庚韵	离居才几日，兰叶春风生。门外即流水，片帆东下轻。野处寡新友，良辰多远情。思君如草色，迢递向芜城。
