鹤子朝霞（明·邹衍中）　　七言绝句　押微韵	放鹤何年鹤未归，红衣几欲点霜衣。低徊不作朝阳梦，徒抱丹心向日飞。
古佛松林（明·邹衍中）　　七言绝句　押先韵	白云飞过树生天，无漏争归古佛前。输与巅南□首座，松风谡谡老凄禅。
开元晓钟（明·邹衍中）　　七言绝句　押真韵	疏钟原自佛分身，点点慈悲为醒尘。试问开元至今日，不知曾度几何人。
白石洞天（明·邹衍中）　　七言绝句　押删韵	白石山人懒下山，丹成点化石头顽。几回欲向云中去，祇恐群仙不放还。
峨眉夜月（明·邹衍中）　　七言绝句　押先韵	亭亭午夜两蝉娟，一立峰头一雾边。学取画眉谁得似，天姿青白各为妍。
平原古塔（明·邹衍中）　　七言绝句　押灰韵	半藏舍利半莓苔，劫火曾经未化灰。芳草年年春自绿，六朝往事一寒堆。
南湖秋汎（明·邹衍中）　　七言绝句　押尤韵	爽籁清风水面浮，人同烟景上扁舟。凭谁倩得王摩诘，写出南湖片片秋①。
