闻马氏变节后题（近现代·夏承焘）　　七言绝句　押庚韵	传檄初看涕汨倾①，临危何意堕家声②？少卿降虏终非计③，三叹重删苦战行④。
百字令 和厚庄前辈灵峰摩岩石拓原韵（近现代·夏承焘）	巨灵孤擘。问何年推出，撑空岩壁。劫火烧残山骨冷，丹篆犹摩拳石。云护精灵，天开图画，奇句江山辟。银笺重拓，墨花还绣苔碧。我羡老去刘晨，朅来丘壑，爱着寻幽屐。断碣残碑闲送日，何似岣嵝邹峄。胜地神游，故山春到，梦境迷仙迹。何时鸾背，和公云外吹笛。
卜算子（近现代·夏承焘）	双燕不归来，帘幕春无主。眼底阑干几折红，便是蓬山路。绿遍满堤芜，日断春归处。片片浮云似薄愁，只向天涯去。
鹧鸪天 宿潼关（近现代·夏承焘）	过眼秦皇与汉皇。马头但有路尘黄。扫眉人唱三峰媚，折臂翁耕百战场。风浩荡，劫苍茫。旁观莫笑客郎当。贾生涕泪无挥处，要上潼关看夕阳。
西江月 普陀坐雨，读东坡乐府（近现代·夏承焘）	落帽休嫌种种，看山常恨匆匆。扁舟过海倘相逢。莫问琼儋旧梦。昨夜禅床听雨，啖灯无数蛟龙。篆烟一炷忽摇风。句里千峰飞动。
齐天乐 重到杭州（近现代·夏承焘）	十年南北兵尘后，西湖又生春水。鸥梦初圆，莺声未老，知换沧桑曾几。湖山信美。莫告诉梅花，人间何世。独鹤招来，伴君临水照憔悴。苏堤垂柳曳绿，旧游谁识我，当日情味。禅榻听箫，风船啸月，笑验酒痕双袂。嬉春梦里。又一度斜阳，一番花事。如此杭州，醉乡何处是。
水调歌头 泊桐庐（近现代·夏承焘）	惟有雁山月，知我在江湖。泷滩七里如镜，照影过桐庐。不见羊裘老子，为问浮名阿在，水色古今虚。把酒欲谁语，汀鹭夜相呼。十年后，数椽傍，客星居。关山南北，总怜清景世间无。落日黄河一线，风雨长江片练，气概一何粗。何似泛银汉，月底此舟孤。
虞美人 过桐庐（近现代·夏承焘）	十年梦想桐江碧。双桨今相识。新蟾与我在江湖。照我满身风露过桐庐。滩声一枕潇潇雨。无觅浮名处。水窗朝旭忽闻莺。准拟此生挈酒作诗人。
临江仙（近现代·夏承焘）	忆昔富春江上饮，座中多少婵娟。共经行地未荒寒。灯窗和笔案，分占此江天。忽有闲愁花谢后，枯肠芒角森然。不须苦苦劝觥船。便教真醉了，无分似当年。
阮郎归　　一九三〇年（近现代·夏承焘）	遣愁无计醉难凭。乡心却不醒。海棠谢了雨初晴。短吟犹未成。人去后，一灯青。同谁诉此情。梦回淡月上疏棂。看看幽恨生。
三姝媚　　一九三〇年 清明渡太湖至鼋头渚，同金松岑、冯振心、李续川、邵潭秋（近现代·夏承焘）	烟光摇缥素。正万顷浮空，悄无风雨。天外褰裳，念五湖人往，冷鸥谁语。酒醒云归，疑醉我、昆仑玄圃。瑶瑟沉沉，愁抱都空，浪声东去。同诵远游章句。有翠袂成轮，酒狂如虎。石室寻花⑩，恨未遂坡老，后车琴女。唤起鸱夷，待商略、浮家眉妩。剩有霜蟾照我，归帆如舞。
