丁未七月十五夜与连仲甫小万柳堂宴集二首（近现代·廉泉）　　七言律诗　押东韵	毬场浅草接花丛，一水当门认寓公。诗思撩人知茗好，夕阳穿树补花红。坐看岁月堂堂去，乘兴沧洲面面通。团扇及时藏亦得，不须憔悴怨秋风。
胡汀鹭藏有纳兰容若、顾梁汾书扇二叶，因画贯华阁图，征题，寒厓要余同作三首（近现代·廉泉）　　七言绝句　押删韵	古寺萧然独闭关，眼看云起欲沉山。数行淡墨关风谊，迁客乌桓竟赐环。
寒厓集题词代芝瑛二首（近现代·廉泉）　　七言绝句　押冬韵	瘦日霾天障几重，有人收泪说心胸。近来诗境谁能会，独听寒山寺里钟。
辛亥西城寒食之会，观岱为良赉臣、吴绶卿二烈士作画；寒厓孙先生自兰州到京，亦当日座上客。思之黯然二首（近现代·廉泉）　　七言绝句　押先韵	造化为师非想天，流传名迹压耕烟。丹崖拔地一千尺，沧海闻钟五百年。
