安阳山诗六首 安阳山怀古（近现代·侯鸿鉴）　　七言绝句　押尤韵	闻道当年有周赟，分茅此地故封侯。我来今日访遗迹，风雨荒山云满楼。
梅园写景四首（近现代·侯鸿鉴）　　七言绝句　押先韵	广筑园林凿砚泉，好留游客写吟篇。空山寂寂无猿鹤，万树梅花伴我眠。
自陕至甘有怀左文襄（近现代·侯鸿鉴）　　七言绝句　押歌韵	自古西陲边患多，策勋自是壮山河。三千陇路万株柳，六十年来感想何。
