狱中月夜（近现代·刘伯坚）	空负梅关团圆月，囚门深锁窥不得。夜半皎皎上东墙，反影铁窗皆虚白。
带镣行（近现代·刘伯坚）	带镣长街行，蹒跚复蹒跚。市人争瞩目，我心无愧怍。带镣长街行，镣声何铿锵。市人皆惊讶，我心自安详。带镣长街行，志气愈轩昂。拚作阶下囚，工农齐解放。
移狱（近现代·刘伯坚）	大庾狱中将两日，移来绥署候审室。室长八尺宽四尺，一榻填满剩门隙；五副脚镣响锒铛，匍匐膝行上下床。狱门咫尺隔万里，守者持枪长相望。狱中静寂日如年，囚伴等吃饭两餐。都说欲睡睡不得，白日睡多夜难眠；檐角瓦雀鸣啁啾，镇日啼跃不肯休。瓦雀生意何盎然，我为中国作楚囚。夜来五人共小被，脚镣颠倒声清脆。饥鼠跳梁声啧啧，门灯如豆生阴翳；夜雨阵阵过瓦檐，风送计可到梅关。南国春事不须问，万里芳信无由传。
