桃林坪（近现代·严雁峰）　　五言绝句　押麌韵	姬氏谁复知，红雨无今古。欲證武成篇，石人不能吐。
灞桥（近现代·严雁峰）	辚辚大车尘，从古飞不止。多少英雄人，头白长途里。灞桥云正寒，哀鴂夕阳市。慷慨问有唐，苍苍诸陵累。仰攀堕泪亭，俯涉销魂水。山鬼揶词场，浮云变声伎。柳条不忍春，为谁悴如此。东去望梁楚，电驰王侯轨。滑稽取黄金，肝胆知谁是。抚剑歧路伤，题柱丈夫起。家书千璠玙，伫目秋鸿俟。
终南圆明寺题壁（近现代·严雁峰）　　押陌韵	达人与天游，林壑宁非惜。鴂啼王侯门，秋草长安陌。高揖谢组圭，我本渔樵客。梦断谪仙楼，心飞康乐屐。嵣{此/必}面南山，雨后新浴碧。寒霞明灭间，万仙醉朱液。兰桂馨太古，借问谁抱璧。五陵北原遥，回首汉唐迹。石麟折其股，感叹黄屋穸。
娑萝树（近现代·严雁峰）　　押青韵	胡僧自移昔，千岁空青青。想厌西教浅，来问道德经。
紫柏山谒留侯庙（近现代·严雁峰）　　押纸韵	磅礴登柴关，雪霁山睡起。瑶岛愕蚕丛，骑鹤妙香靡。羽客挂岩泉，激翠生宫徵。林木风为梭，织成孤祠绮。从来怜霸才，多由隐君子。漏网圯桥书，秽嬴遂不祀。侯维老氏徒，龙乎变化诡。股掌弄韩彭，群雄儿戏视。帷幄渊无垠，重瞳反文轨。封侯深杜门，泰山安吕雉。归脱弃人间，忽瞻松石喜。将相釜底魂，狱吏尊无比。回头笑功狗，刀笔其已矣。独降隆准师，辟谷老烟水。及今畤褒斜，奇勋焚栈是。堂下冬青寒，云瀑捲帘嶬。岚雨娇新妆，画眉五十里。每当春夏间，流出楼台紫。后儒懵九邱，鸿冥复食耳。伊旦不求仙，王佐古如此。留乃徐沛隶，岂闻汉初徙。我观世家篇，冢书谷城死。壁诗斯蜕蜂，未读马迁史。拜乞臣布衣，千载鉴知止①。
夜发五丁峡（近现代·严雁峰）　　押缉韵	嗟予抱璞心，空有崎岖泣。饮流病骥颠，溪雨头面湿。红瘦寒驿灯，奇石森鬼立。汗倾何沮洳，窅窊深峡入。霜浓砭骹胫，我前虎呼吸。怆然想五丁，尔墓恶枭集。胡为拔山勇，甘割己岩邑。一夫血气私，遂令国呜唈。金牛女乐涎，千载焚身急。夜萤悯劳人，孤光照危级。局步褒斜尽，晓见群羌揖。
七盘关（近现代·严雁峰）　　押屋韵	羌中登七盘，烟际嘉陵竹。回首怜长安，独无此君族。山势作螺旋，下有青精谷。日暮寻戍人，半与猿鸟屋。悠然沧浪声，老妇沤麻独。在昔发秦州，高咏少陵蓄。后人懵公诗，谓险不谓朴。
