咏菊（近现代·瞿秋白）　　五言绝句　押元韵	今岁花开盛，宜栽白玉盆。只缘秋色淡，无处觅霜痕。
江南第一燕（近现代·瞿秋白）　　七言绝句　押肴韵	万郊怒绿斗寒潮，检点新泥筑旧巢。我是江南第一燕，为衔春色上云梢。
哭母诗（近现代·瞿秋白）	亲到贫时不算亲，蓝衫添得新泪痕。饥寒此日无人问，落上灵前爱子身。
红梅阁（近现代·瞿秋白）　　押灰韵	出其东门外，相将访红梅。春意枝头闹，雪花满树开。道人煨古拙，烟湿舞徘徊。此中有至境，一一入寒杯。坐久不觉晚，瘦鹤竹边回。
卜算子（近现代·瞿秋白）	寂寞此人间，且喜身无主。眼底云烟过尽时，正我逍遥处。落知春残，一任风和雨。信是明年春再来，应有香如故。
浣溪纱·一九三五年初夏作于汀州狱中，赠呈炎冰（陈炎冰，瞿秋白所在监狱狱医）先生雅正（近现代·瞿秋白）	廿载浮沉万事空。年华似水水流东。枉抛心力作英雄。湖海栖迟芳草梦，江城辜负落花风。黄昏已近夕阳红。
