就义诗（近现代·夏明翰）　　押真韵	砍头不要紧，只要主义真。杀了夏明翰，还有后来人。
童谣（近现代·夏明翰）	民家黑森森，官家一片灯。民家锅朝天，官家吃汤丸。
金鱼（近现代·夏明翰）　　押虞韵	鱼且能自由，人却为囚徒。
