端午节（民国末当代初·俞平伯）　　五言绝句　押真韵	清润端阳节，茅檐插艾新。分尝初刈麦，惭荷对农民。
半帷呻吟（民国末当代初·俞平伯）　　五言绝句	瞢腾偎扁枕，浑不辨朝暮。反顾欲语谁，方知人已去。
东岳集五言杂咏六首（民国末当代初·俞平伯）　　五言绝句　押麻韵	茅檐绝低小，一载住农家。照影西塘水，贪看日易斜。
将离东岳与农民话别（民国末当代初·俞平伯）　　七言绝句　押灰韵	落户安家事可怀，自憎暮景况非材。农民送别殷勤意，惜我他年不管来。
楝花（民国末当代初·俞平伯）　　七言绝句	天气清和四月中，门前吹到楝花风。南来初识亭亭树，淡紫花开细叶浓。
楝花（民国末当代初·俞平伯）　　七言绝句　押阳韵	此树婆娑近浅塘，繁英飘落似丁香。绿阴庭院休回首，应许他乡胜故乡。
绩麻（民国末当代初·俞平伯）　　七言绝句　押麻韵	脱离劳动逾三世，来到农村学绩麻。鹅鸭池塘看新绿，依稀风景似归家。
玉楼春·和清真韵寄环（民国末当代初·俞平伯）	花花草草随人住。形影相依无定处。江南人打渡头桡，海上客归云际路。消愁细把愁重数。执手正当三月暮。今朝悄对杏花天，那日双看杨柳絮①。
浣溪沙·答朱佩弦兄，见《敝帚集》（民国末当代初·俞平伯）	瘦减秋闺昨夜眠。还留密宠掷银笺。背人凄咽立灯前。不再楼头同一醉，出门挥手两风烟。却言相见有明年①。
鹧鸪天·咏西洋纸牌戏（民国末当代初·俞平伯）	叔宝（以喻卫玠）才能越众强。装成乔客费平章。东朝自恋风流宠，僧正巍然号法王。倍集克（译言小吻），重三双。昏姻宣布亦平常。须知群众威能大，十点今朝捉帽黄①。
临江仙（民国末当代初·俞平伯）　　押侵韵	几日东风频拂面，六街微暖泥侵。檐牙冻雪啄鸣禽。残冬犹胜往，烽火照城阴。一片晕红无那，三分芳酒须斟。为君祝健最深深。愿同如愿女，宛转称人心①。
金缕曲·和董每戡君（民国末当代初·俞平伯）	一曲嘉隆旧。叹跫然、足音空谷，寂寥良久。欣遇莺啼花开日，多少朋来聚首。总梁魏、风流难又。慢转歌喉低按拍，只怀庭、成法犹堪守。启兰菊，青年秀。岭梅驿使怀琼玖。海南天、彩云飞堕，馨香盈袖。身后是非闲得失，评泊琵琶能究。记京国、初逢把酒。慕想董公真健者，更春深、陌上重来候。歌下里，为君寿（一九五七年）。
六州歌头（民国末当代初·俞平伯）	西奈半岛，战火运河封。伊色列，邻埃及，启兵戎，逞群凶。一水盈盈送。欧非亚，三洲共。惟劳动。人知重。代天工。真个移山倒海，走多少、楼舰艨艟。旗帜飘空。万邦同。叹山茵水。西敏寺。违民意。竟何功。塞得港，开罗市，俱遭轰。硝烟蒙。漫倚神州远，难袖手，看狼烽。金门会。声欢沸。振苍穹。闻道天方古国，策群力、愤发为雄。映和平素鸽，新月晚霞红。来往西东。
如梦令（民国末当代初·俞平伯）	漫说姻缘凤卜。谁道鸾拘凤束。荏苒十年间，欠了一场痛哭。休哭。休哭。且待重谐花烛。
菩萨鬘·庚申小春病榻（民国末当代初·俞平伯）	烟空一望无相识。飘零不记闲踪迹。料理浴①归舟。夕阳明舵楼。云端疑幻墨。知是谁家笔。欹枕看鱼禽。碧波红浅深。
鹧鸪天（民国末当代初·俞平伯）	良友花笺不复存。与谁重话劫灰痕。儿嬉未识王纲解，老讶居邻鲜弟昆。人已去，总休论。清朝无事到黄昏。斜风细雨长亭路，且待新来客扣门①。
南柯子·和清真（民国末当代初·俞平伯）	小扇团团雪，轻罗剪剪冰。偶循阑曲听蛩声。恰讶一枝凄艳付闲庭。索笑脂饧泫，低眸粉泪清。幽姿何意媚宵行。宛转因风履响逗流萤。
浪淘沙·和后主（民国末当代初·俞平伯）	秋雨听潺潺。叶子珊珊。炉烟不暖客心寒。约略春归才几日，如梦悲欢。翠袖倚危阑。迟暮江山。鳞游无翼去原难。拟把鱼书凭雁足，寥落人间。
齐天乐·残灯（民国末当代初·俞平伯）	沉沉寒雨如年夜，西窗只馀凄哽。渐减清晖，频移永漏，自惜伶俜孤影。瞢腾梦醒。已金粟垂花，玉荷生暝。几许兰膏，为谁辛苦镇长炯。华堂欢宴乍歇，背人深拥髻，娇倩曾凭。未驻春嬉，唯怜岁晚，咫尺天涯愁凝。凭伊管领。点无际昏茫，一星犹迥。伫立遥天，晓风帘外冷。
换巢鸾凤·《燕知草》题词，和梅溪（民国末当代初·俞平伯）	南国莺娇。叹嬉恬梦浅，渐远虹桥①。好风偏鬓影，暗陌咽饧箫。微阳春尽去墙腰。露桃拥鬟，池台语销。黄昏懒，试静睡、夜灯留照。山悄。波渺渺。襟上酒痕，前事空怀抱。记否来时，不如归矣，凄怨天涯芳草。憔悴行吟迫中年，杜鹃啼罢残英老。湖烟深，漫回头、寂对霜晓。
