题春山图（近现代·秦宝瓒）　　七言绝句　押尤韵	身世苍茫问白鸥，柳阴深处钓渔舟。年来只作浮家想，大好溪山任淹留。
题月宫图三首（近现代·秦宝瓒）　　七言绝句　押尤韵	广寒深锁几春秋，难得三郎到此游。寂寞嫦娥开笑靥，只为相见解烦忧。
游鼋头渚（近现代·秦宝瓒）	吾闻具区三万六千顷，七十二峰涵波影。中有一鼋跋浪来，激飞水石沧溟开。鼋身横浸莓苔绿，鼋头触起云涛堆。鼋耶石耶杳莫知，以鼋名山山何辞。我来四月新雨后，山翠欲滴山云痴。摩崖谁凿擘窠字，横云刻断苔藓姿。足纹拆裂风涛吼，嶙峋石骨蟠蛟螭。截作园林山景石，米颠袍笏争求迟。山泉一勺可汲饮，未携茶具空踌躇。他年鼋头结茆屋，野梅遍植山之麓。花开如雪翠禽飞，花下酥倒花下宿。
