为松岩研弟画并录旧作（近现代·胡汀鹭）　　七言绝句　押东韵	粘天草色透帘栊，春恨如潮梦已空。几日轻寒连夜雨，桃花无力怯东风。
自题松厓飞鸟图（近现代·胡汀鹭）　　七言绝句　押微韵	攫石悬崖松倒植，破烟接翅鸟斜飞。江湖满地风波恶，试问相将何处归。
山水三首（近现代·胡汀鹭）　　七言绝句　押先韵	半生无计谢尘缘，得一日闲便是仙。掷笔不禁长太息，此中容我结三椽。
题二泉图（近现代·胡汀鹭）　　七言绝句　押庚韵	烹茶若用二泉水，齿颊生香诗更清。笑我三杯饮未歇，依然搜索句难成。
多景楼（近现代·胡汀鹭）　　七言绝句　押尤韵	忆昔赏登多景楼，于今十五六春秋。沧桑劫换朱颜改，江水依然入海流。
飞来峰（近现代·胡汀鹭）　　七言绝句　押冬韵	杭州西湖未曾到，常想湖边策短筇。听说湖山最胜处，嶙峋莫过飞来峰。
题芭蕉天竹（近现代·胡汀鹭）　　七言绝句　押鱼韵	破残蕉叶不堪书，风雪漫天逼岁除。写入辋川图画里，袁安高卧在蓬庐。
金缕曲（近现代·胡汀鹭）	应共山为寿。从寒空，危崖片石，群峰低首。自有才华称蕴藉，胸罗二十八宿。况清节、衣冠之后。爱惜羽翰异流俗，尽回翔、不下争鸡口。蝉似忍，鹤因瘦。苍天早已安排就，有多少、无端哀乐，心肝可呕。慧业三生愁一世，喜得朝云相守。且休问，开门无有。举目金瓯残又缺，正杜陵野老吞声候。来一醉，中山酒。
念奴娇 每岁除日午后偕程子颂嘉游惠山登云起楼酌酒品茗习以为常，今程子卧病已逾三年，余则于客中过却，乙亥正月独游惠山归谱此解并作登楼别岁图以似颂嘉病榻卧游（近现代·胡汀鹭）	西郊晴日，喜山眠、初醒偷闲时候。休问梅花开也未，且醉尊中浊酒。索债有人，追欢在我，清福能消受。鼓声爆竹，阑干云外依久。驹隙瞬过三年，同游旧侣，病卧文园瘦。自恨天涯常作客，漂泊饥未驱走。梦杳难寻，欢谁可拾，风景全非旧。嗒然归去，酒痕无复盈袖。
翠楼吟（近现代·胡汀鹭）	宿枕余醒，残衾恋梦，晓眠欲起还止。清明才过也，顿风里连吹红雨。柳丝如许。几曾挽东君，暂毋归去。相思处，低回寻遍，旧曾游路。凄楚。更一番寒，尽酿阴成雨，天公无主。华年随逝水，问明镜朱颜存否。深深庭宇，已翠欲成堆，不堪回顾。应须记，春魂多在，锦囊诗句。
买陂塘 柳（近现代·胡汀鹭）	尽潇潇，朝朝暮暮，韶华流水递换。封侯夫婿浑无主，休怪登楼肠断。东风软。记尽日飞絮，相和溪云乱。陌头西畔，看芳草粘天，斜阳满树，树外莺莺唤。分携处，折尽条长条短。青青朝雨新浣，离情别意将谁劝。日近长安天半。君莫管。说巧样描来，浅黛如山远。惊心有券。知此后江潭，同悲摇落，满目剩凄婉。
醉花阴（近现代·胡汀鹭）	柳絮搅成春似梦，往事如愁涌。抬眼只忪惺，沃雨夭桃，西子将心捧。寂寥院宇和谁共，绿净苔无缝。枝上子规啼，着意留春，听也何曾懂。
浪淘沙（近现代·胡汀鹭）	且莫说清明，总是天阴。梨花瘦到怯生生，我亦春衫犹未换，休道寒轻。后约杳难成，鱼雁无凭。寂寥庭院只愔愔。小鸟也知人意思，屋角呼晴。
罗敷媚歌（近现代·胡汀鹭）	初三望到团乐夜，香雾空濛。露湿花丛。小立闲阶只个侬。追思旧事心都冷。去日西风，今日东风，将离开到分外红。
青玉案（近现代·胡汀鹭）	几春风雨韶光瘦，问耐得轻寒否。上巳清明都过后，红丝千缕。相思系就，朵朵皆低首。高烧银烛明如昼，正妆卸、疏慵后。月转回廊相见骤，睡情依旧。香含檀口，春梦浓于酒。
一斛珠（近现代·胡汀鹭）	杯倾婪尾，东皇打叠归程意，春痕颗颗明珠记。醉梦回时，尚带琼浆味。闲庭水样深深地，麦秋寒到湘帘底。留春毕竟留无计。燕子归来，且把重门闭。
南歌子（近现代·胡汀鹭）	燕子怜春瘦，飞花喜雨肥。柳丝系住夕阳西。怪煞催归枝上子规啼。阑曲依廊转，帘垂着地齐。相思重到路应迷。多分春心都化作春泥。
踏莎美人（近现代·胡汀鹭）	竹影输凉，荔香媚雨，此间只合鸳鸯住。稚荷贴水绿田田，正是清和四月麦秋天。蛎粉墙低，虾须帘卷，个侬想已登临倦。阑干闲煞夕阳边，辜负宜晴宜雨一湖烟。
