戊辰秋日和吴梅村先生戏题士女图十二绝句（选一）（近现代·冯骧）　　七言绝句　押真韵	时遭丧乱堕胡尘，赎转蛾眉竟有人。塞外云埋多少骨，累累半是汉家臣。
读三苏全集书后（近现代·冯骧）	西蜀文章兆自汉，文翁讲学如天旦。前有相如后渊云，球琳玉石争璀璨。当时文运正隆盛，逮夫唐宋风不竞。眉山父子起其间，以文鸣世相辉映。老泉学术尚纵横，落笔能令风雨惊。议论虽然多杂霸，老凤清于雏凤声。轼辙二子承渊源，轰轰大地转双辕。天章云汉两手抉，扫尽浊世秕糠言。交争青苗字成血，两公之心月夜雪。无如权臣锢主聪，前后谏章空剀切。从此乌台起诗案，指摘诗篇为谤讪。珠玉沈埋数十年，世间无复坡词翰。为兄上书有子由，句含血泪字含秋。裕陵冰鋻不可及，鸱鸮虽恶空嘲啁。党人碑上目为奸，翻为两公开笑颜。设使当时无姓字，空悬肝胆照人间。我读公书废书叹，文字翻招边远窜。丰城剑气终难埋，至今瓣香长不断。
拟王渔洋眉州谒三苏祠（近现代·冯骧）	欲突不突蛤蟆山。欲流不流玻璃水。江水泱泱山苍苍，毓秀钟灵光图史。眉州城西环水清，纱线街头莽榛荆。仆夫鞭指路人告，苏公里第横丹楹。忆昔此地逆贼蟠，酋何人兮铁脚蛮。闬闳广厦供薪爨，灵祠灰烬赭衣冠。瓦毁土崩栋梁折，虏众闻之心胆裂。修葺曾来守赵公，岿然灵光长不灭。甘蕉百尺柳十围，拂檐舞槛花乱飞。观莲台畔雨初涨，兜罗绵上云生辉。老松蜿蜒龙腾沫，翠柏轮囷鹰鞲脱。龙眠画像生气存，骍券亲书山谷跋。苔斑藓蚀摩穹碑，螭首狰狞蚨灵龟。滁黄镌板恣题咏，沁脾炙口长春诗。旁人休拟扬雄宅，英光浩气朝复夕。文章千古八大家，经济一门三词客。怒号风雨蛟龙走，乘凤飞鸾孝且友。春蔬秋韭荐馨香，芳名终古三不朽。
韩世忠大战黄天荡歌（近现代·冯骧）	焦山寺前围似铁，鸟飞不过鱼虾绝。万舸军声涌怒潮，万丈潮头流碧血。血中突闻鼓声吼，子弟八千胆如斗。密布云罗数万重，阻逼蛟龙不敢走。一自胡马渡江来，烽火纷腾鼓角哀。光世溃逃杜充叛，声势赫赫轰如雷。女真奋勇相追逐，直使中原如破竹。明州屠罢又潭州，狐兔潜逃杜鹃哭。雄兵一夜集江中，百万车骑拜下风。大纛高牙标姓字，锦衣骢马韩相公。相公神勇真无偶，横空飞下杀人手。江北江南背嵬军，渺视金酋若刍狗。一破大仪兵，再全海州守。中兴武功第一人，肯使跳梁容小丑。形势先据金山顶，太子红袍空驰骋。展动长枪欲刺天，满船日耀兵戈影。杀气连天卷天黑，白浪摩空云无色。两岸草木皆雄兵，一江鹭鸥尽劲敌。牙樯林立峙如山，箭似飞蝗风雨击。横空鸟雀都难飞，戈戟丛中汗血滴。山头娘子军尤壮，锦伞绣旗屹相向。一阵涛回胥母狂，千军胆落黄天荡。黄天荡中两瓯鼓，江水去天只尺五。万顷波摇星斗寒，螓首蛾眉胭脂虎。乌珠搔首唤奈何，洛索仓黄难禦侮。生擒龙虎大王归，大兵指日平胡虏。献金帛，献名马，俯伏船头泪空洒。江干不筑受降城，软语温言胡为者。身似扶危郭汾阳，怀寄渡江祖士雅。誓欲亲迎二圣还，独木何难支大厦。战舰艨艟金人窘，刁斗森严日夜警。一旦凿通老鹳河，海鹘飞腾奔小艇。可怜四十八日中，帷幄机谋成画饼。可怜两河父老声，扼腕抚膺空引领。吁嗟刘锜破顺昌，沂中捷报自藕塘。和尚原头吴玠马，朱仙镇上岳家枪。岂期朝廷主和约，少保已含冤，秦桧方组阁，不如朝跨驴兮夕放鹤。夫妇偕老西湖滨，春秋共唱渔家乐。吁嗟乎，当年猛虎卧茅檐，今日巨鱼潜大壑。
岳武穆大战朱仙镇歌（近现代·冯骧）	杀气勃勃阵云黑，威镇山东控河北。百万军声涌怒潮，阻逼金酋归不得。一破郾城兵，再诛颖昌贼。麻扎刀利孰敢当，泰山军来如霹雳。雄心击碎玉唾壶，壮怀欲饮金人血。旌旗林立鼓殷天，朱仙镇中围似铁。此唤岳爷爷，彼嗟风猎猎。撼军信比撼山难，投诚争欲投矛戟。乌珠搔首唤奈何，达赉仓皇头破裂。大兵指日抵黄龙，雄竹豪丝声激越。迎我二圣还，仗尔三军力。整顿半壁天，表扬孤臣节。岂期十二金字牌，万里长城中道折。可怜两河哭震天，父老攀辕枉凄切。可怜十载恢复功，涅背精忠空报国。缚虎容易放虎难，伤哉七字误长舌。岂真天弃赵官家，不使金瓯补残缺。岂真帝安小朝廷，不使将军称无敌。至今黄茅白苇间，叱吒之声犹未绝。每当风雨斗长空，何异当年相攻击。吁嗟乎，何异当年相攻击。
剑门关（近现代·冯骧）　　押药韵	黑云压压红云烁，万仞蜀山齐束缚。独有双锋陡插天，全川门户此扃钥。小剑势崔嵬，大剑形峻崿。远连千佛岩，近接飞仙阁。锋芒直达霄汉间，毒雾阴风常喷薄。猿鸟飞走据危巅，蛟龙蜿蜒潜幽壑。光冲上界星斗寒，石借他山几攻错。宛若文笔峰，亦类芙蓉萼。白刃漫拟刻舟求，青萍不向延平跃。危峦左右耸长空，直使万马千骑北来诸军皆胆落。忆昔蚕丛及鱼凫，恃险凭临如城郭。金牛乍开力士死，名山不假五丁凿。我闻秦人伐蜀川，横磨万剑空剽掠。又闻邓艾度阴平，倚天长剑终无着。旗鼓尚敢出井陉，岂无奇峰似邪镆。天堑飞渡入金陵，千寻铁锁亦销铄。可知在德不在险，王者从来有远略。事无大小理则同，谁将得失咎霜锷。迄今栈道如通衢，冷月闲云争秀削。精光依旧贯长虹，浩气犹然钟磅礴。几多成败与兴衰，世运沧桑浑如昨。策杖关前一俯视，千山万岭皆卑弱。
杜陵叟伤农夫之困也（近现代·冯骧）	杜陵叟，居杜曲，终岁胼手兼胝足。刈麦初罢又插秧，身劳岂畏泥涂辱。旱魃为虐苗皆枯，大风卷地更折谷。天灾厄人人无言，县官催租火迅速。哀鸿嗷未休，豺虎满人屋。粟帛献稍迟，金刚齐努目。竹笥搜尽寒冬衣，桑阴鬻我耕田犊。官钱虽纳杼柚空，谁将灾苦宣苍穹。苍穹明镜鉴万里，讵能察我茅檐蔀屋之私衷。
