庚子诗鉴（选录）（清末近现代初·郭则沄）　　七言绝句　押麻韵	峨峨旗箭拟高牙，帐下群凶击柱哗。蝇拂纶巾谁氏子，黄袍一旦竟身加。
六丑 次苍虬韵，咏海棠（清末近现代初·郭则沄）	记吹香旧馆，有倦燕、飞回曾识。锦城梦遥，含颦欹翠羃。春去谁惜。漫许金盘荐，冷枝红妩，涴雨痕犹湿。长幡稳护愁无力。蝶瘦魂悽，鹃寒泪滴。凭栏为伊痴立。又烟丝弄暝，零乱苔迹。年光轻掷。况樊亭路隔。送断风花影，浑懒觅。东风换了萋碧。只蘦脂半掩，暗传芳息。竛竮恨、忍随蜂翼。凭扶起、劫后春心底处，更寻香国。笺天罢、虚盼晴色。待卷帘、细赏千金夜，仙云驻得。
水龙吟 俟园晚集，见池荷叶底窅映新花，倚此赏之（清末近现代初·郭则沄）	柳飔凉到阑干，虹桥一曲题襟水。嫣然半面，偷窥菱镜，含赪更媚。犹似年时，潘妃细步，暗遮裙翠。倩微波寄语，怜伊心苦，钿钿影，妆成未。莫道红儿最小，尽撩人、销魂滋味。诃池浴罢，粉轻香瘦，天然丰致。觅觅寻寻，菭矶立遍，幽禽能记。怕云裳解后，西风卷去，化相思泪。
菩萨蛮（清末近现代初·郭则沄）	蘋香吹梦东风晚。飞红不隔湖亭眼。低唱度琴心。一双花上禽。钓船轻胜屋。閒趁烟鸥宿。篴外雨潇潇。春芜长短桥。
江城子 迪庵有诗赋瓶中水仙，为填是解（清末近现代初·郭则沄）	玉冠妆就忆新笄。楚云飞。恋仙衣。检取残香，含恨倚金徽。翠佩隔宵初解了，应不似，梦来时。背人偷写洛川辞。误芳期。怨天涯。料得花魂，吟鬓两成丝。一剪灯屏春影瘦，休更遣，峭风吹。
醉太平（清末近现代初·郭则沄）	花畦半弓。花阑几重。柳枝亸倚东风。比春人更慵。春心雪融。春愁酒浓。斜阳又过墙东。剩一分瘦红。
买陂塘 泛舟南塘，吊聂忠节，次查湾韵（清末近现代初·郭则沄）	认前番、画桥单舸，添来潇碧如许。轻罾界破玻瓈影，搅起一双沙鹭。偷眼处。早隔舫菱歌，稳载花枝去。风蒲似语。笑雾鬓烟蓑，五湖图就，钿约总成误。斜阳岸，指点苔荒石古。客来谁酹香土。青林夜冷灵旗下，飒飒藕飔蘋雨。君记取。千劫后、沧波不散银涛怒。凉云易度。又奁影偎烟，灯痕恋暝，遮断野桥路。
壶中天 逊园小集，观所供盆石，云阻风夔门时所得，或鱼复阵石之遗。为填此解（清末近现代初·郭则沄）	蜀江何限，记汀蒲如画，前番风色。扁棹留君应有意，分与一拳秋碧。滴溜疑穿，皱云比瘦，奇骨何人识。梅边清对，梦痕犹恋烟汐。当日赤壁纵横，艨艟敛尽，遗恨空沈戟。抉水奔猊留断影，只伴骚人行笈。冰柱高吟，雪盆小供，幽致俱无匹。补天终负，客中丝鬓添白。
惜馀春慢 又尘新得柳蘼芜唐镜，属赋（清末近现代初·郭则沄）	淬水荷青，缄泥花碧，片月轻盈如许。调妆影事，侧帽芳情，漂梦更无寻处。应忆骊宫晓寒，星影初窥，翠娇红妩。奈云屏人远，菱枝吹散，暗随风絮。还拾向、红豆花前，鬟云梳罢，赚尽轻怜低语。琴川水咽，绮阁苔侵，枉费断肠词赋。奁底春魂，漫招新样，点成一般凄楚。剩无情鸾影，真真千唤，个侬知否。
浣溪纱 同浪公查湾息厂联句（清末近现代初·郭则沄）	泪眼伤春又一年（浪公）。断红零落带愁妍（查湾）。天涯处处有啼鹃（蛰云）。款梦飘残珠箔雨（息厂），偎香吟瘦药炉烟（蛰云）。柔肠转尽忆从前（浪公）。
疏帘淡月 重游李园（清末近现代初·郭则沄）	青青柳眼。乍隔水偷窥，悄传春怨。寂寞闲庭冷榭，梦云天远。花阑几处欹斜影，料韶光、更无人管。牡丹阴下，那回双倚，屧痕都黦。甚金谷、香尘易散。只客鬓成星，暗添悽恋。浅后蘋波，吹皱一痕如泫。登临漫说春来早，怕春来、翠芜零乱。闷怀谁省，孤禽啼处，夕阳红断。
