喜夫君星子脱险（近现代·吴蕉园）　　五言绝句　押灰韵	君去浔阳地，艰难又独回。任他风浪急，聊共举琼杯。
春日偶成（近现代·吴蕉园）　　七言绝句　押文韵	黄梅节近雨纷纷，绿满池塘流水闻。无语门前数归蝶，小山花树暗如云。
夏夜怀郅、鄣二弟（近现代·吴蕉园）　　七言绝句　押阳韵	疏堤郊外叶残黄，卷就罗衣思更长。料得家园丛桂发，清风几树好追凉。
野外撷菜归（近现代·吴蕉园）　　七言绝句　押阳韵	七月西风到晚凉，小园瓜果已闻香。半篮清翠归来晚，洗净尘沙傍野塘。
怀姊（近现代·吴蕉园）　　七言绝句　押真韵	姊去潇湘几度春，小窗减却夜谈人。归来何日常思念，因待洞庭红橘新。
