咏剪彩花诗（南北朝·鲍泉）　　押真韵	花生剪刀里，从来讶逼真。风动虽难落，蜂飞欲向人。不知今日后，谁能逆作春①。
奉和湘东王春日诗（南北朝·鲍泉）	新莺始新归，新蝶复新飞。新花满新树，新月丽新辉。新光新气早，新望新盈抱。新水新绿浮，新禽新听好。新景自新还，新叶复新攀。新枝虽可结，新愁讵解颜。新思独氛氲，新知不可闻。新扇如新月，新盖学新云。新落连珠泪，新点石榴裙①。
落日看还诗（南北朝·鲍泉）　　押真韵	妖姬竞早春，上苑逐名辰。苔轻变水色，霞浓掩日轮。雕梦斜落景，画扇拂游尘。衣香遥已度，衫红远更新。谁家荡舟妾，何处织缣人①。
南苑看游者诗（南北朝·鲍泉）　　押歌韵	洛阳小苑地，车马盛经过。缘沟驻行幰，傍柳转鸣珂。履高含响佩，袜轻半隐罗。浮云无处所，何用转横波①。
江上望月诗（南北朝·鲍泉）　　押先韵	客行钩始悬，此夜月将弦。川澄光自动，流驶影难圆。苍苍随远色，瀁瀁逐漪涟。无因转还泛，回首眷前贤①。
秋日诗（南北朝·鲍泉）　　押阳韵	露色已成霜，梧楸欲半黄。燕去櫩恒静，莲寒池不香。夕乌飞向月，馀蚊聚逐光。旅情恒自苦，秋夜渐应长①。
咏梅花诗（南北朝·鲍泉）　　押灰韵	可怜阶下梅，飘荡逐风回。度帘拂罗幌，萦窗落梳台。乍随纤手去，还因插鬓来。客心屡看此，愁眉敛讵开①。
咏蔷薇诗（南北朝·鲍泉）　　押东韵	经植宜春馆，霍靡上兰宫。片舒犹带紫，半卷未全红。叶疏难蔽日，花密易伤风。佳丽新妆罢，含笑折芳丛①。
寒闺诗（南北朝·鲍泉）　　押寒韵	行人消息断，空闺静复寒。风急朝机燥，镜暗晚妆难。从来腰自小，衣带就中宽①。
