咏雪离合诗（南北朝·王韶之）	霰先集兮雪乃零，散辉素兮被檐庭。曲室寒兮朔风厉，州陆涸兮群籁鸣①。
宋四厢乐歌廿首 其七 王公上寿歌（南北朝·王韶之）　　押阳韵	献寿爵。庆圣皇。灵祚穷二仪。休明等三光①。
赠潘综吴逵举孝廉诗（南北朝·王韶之）	东宝惟金，南木有乔。发辉曾崖，竦干重霄。美哉兹土，世载英髦。育翮幽林，养音九皋。唐后明扬，汉宗蒲轮。我皇降鉴，思乐怀人。群臣竞荐，旧章惟新。余亦奚贡，曰义与仁。仁义伊在，惟吴惟潘。心积纯孝，事著艰难。投死如归，淑问若兰。吴实履仁，心力偕单。固此苦节，易彼岁寒。霜寻虽厚，松柏丸丸。人亦有言，无善不彰。二子徽猷，弥久弥芳。拔丛出类，景行朝阳。谁谓道遐，弘之则光。咨尔庶士，无然怠荒。江革奉挚，庆禄是荷。姜诗入贡，汉朝咨嗟。勖哉行人，敬尔休嘉。俾是下国，炤辉京华。伊余朽骀，窃服惧盗。无能礼乐，岂暇声教。顺彼康夷，懿德是好。聊缀所怀，以赠二孝①。
宋四厢乐歌廿首 肆夏乐歌（南北朝·王韶之）　　押元韵	于铄我皇，体仁包元。齐明日月，比量乾坤。陶甄百王，稽则黄轩。吁谟定命，辰告四蕃。
宋前后舞歌二首 前舞歌（南北朝·王韶之）	于赫景明，天监是临。乐来伊阳，礼作惟阴。歌自德富，舞由功深。庭列宫县，陛罗瑟琴。翿龠繁会，笙磬谐音。箫韶虽古，九成在今。导志和声，德音孔宣。光我帝基，协灵配乾。仪刑六合，化穆自然。如彼云汉，为章于天。熙熙万类，陶和当年。击辕中韶，永世弗骞①。
