胡无人行（南北朝·徐摛）　　押阳韵	列楹登鲁殿，拥絮拭胡妆。犹将汉闺曲，谁忍奏毡房。遥忆甘泉夜，暗泪断人肠①。
咏笔诗（南北朝·徐摛）　　押先韵	本自灵山出，名因瑞草传。纤端奉积润，弱质散芳烟。直写飞蓬牒，横承落絮篇。一逢提握重，宁忆仲升捐①。
咏橘诗（南北朝·徐摛）　　押寒韵	丽树标江浦，结翠似芳兰。焜煌玉衡散，照曜金衣丹。愧以无雕饰，徒然登玉盘①。
坏桥诗（南北朝·徐摛）　　押微韵	匝栏生暗藓，覆板没鱼衣。岸曲斜梁阻，何时香步归①。
赋得帘尘诗（南北朝·徐摛）　　押支韵	朝逐珠胎卷，夜傍玉钩垂。恒教罗袖拂，不分秋风吹①。
