荆州乐三首（南北朝·宗夬）　　押合韵	迢递楼雉悬，参差台亲杂。城阙自相望，云霞纷飒沓①。
遥夜吟（南北朝·宗夬）　　押月韵	遥夜复遥夜，遥夜忧未歇。坐对风动帷，卧见云间月①。
别萧咨议（衍）（南北朝·宗夬）　　押支韵	别酒正参差，乖情将陆离。怅焉临桂苑，悯默瞻华池。轻云流惠采，时雨乱清漪。眇眇追兰径，悠悠结芳枝。眷言终何托，心寄方在斯①。
