玉阶怨（南北朝·虞炎）　　押支韵	紫藤拂花树，黄鸟度青枝。思君一叹息，苦泪应言垂①。
饯谢文学离夜诗（南北朝·虞炎）　　押微韵	差池燕始飞，幂历草初辉。离人怅东顾，游子怆西归。清潮已驾渚，溽露复沾衣。一乖当春聚，方掩故园扉①。
咏帘诗（南北朝·虞炎）　　押质韵	青轩明月诗，紫殿秋风日。朣胧引光辉，晻暧映容质。清露依檐垂，蛸丝当户密。褰开谁共临，掩晦得如失①。
奉和竟陵王经刘巘墓下诗（南北朝·虞炎）　　押质韵	下帷闻昔儒，窥园信且逸。聚学丛烟郊，栖遁事环筚。戢景谢归年，税驾空悠日。庭露已沾衣，松门向萧瑟。悯悯神念周，依依惠言密①。
