（一作 唐 卢仝 诗）新月（南北朝·刘缓）　　五言绝句　押尤韵	仙宫云箔卷，露出玉帘钩。清光无所赠，相忆凤皇楼。
敬酬刘长史咏名士悦倾城诗（南北朝·刘缓）　　押真韵	不信巫山女，不信洛川神。何关别有物，还是倾城人。经共陈王戏，曾与宋家邻。未嫁先名玉，来时本姓秦。粉光犹似面，朱色不胜唇。遥见疑花发，闻香知异春。钗长逐鬟髲，袜小称腰身。夜夜言娇尽，日日态还新。工倾荀奉倩，能迷石季伦。上客徒留目，不见正横陈①。
江南可采莲（南北朝·刘缓）　　押东韵	春初北岸涸，夏月南湖通。卷荷舒欲倚，芙蓉生即红。楫小宜回径，船轻好入丛。钗光逐影乱，衣香随逆风。江南少许地，年年情不穷①。
看美人摘蔷薇诗（南北朝·刘缓）　　押支韵	新花临曲池，佳丽复相随。鲜红同映水，轻香共逐吹。绕架寻多处，窥丛见好枝。矜新犹恨少，将故复嫌萎。钗边烂熳插，无处不相宜①。
奉和玄圃纳凉诗（南北朝·刘缓）　　押东韵	清气流暄浊，非关狭室中。当由小堂上，自有大王风。樵螟动兰室，神飙起桂丛。披襟深睿赏，曲卷何由同①。
和晚日登楼诗（南北朝·刘缓）　　押麻韵	所以登台榭，正重接烟霞。长丝触栏断，归鸟避窗斜。俯巢窥暝宿，临树摘高花。百雉时方晚，九层光尚赊①。
杂咏和湘东王诗三首 秋夜（南北朝·刘缓）　　押东韵	楼上起秋风，绝望秋闺中。烛溜花行满，香燃奁欲空。徒教两行泪，俱浮妆上红①。
左右新婚诗（南北朝·刘缓）　　押文韵	小史如初日，得妇类行云。琴声妾曾听，桃子婿经分。蛾眉参意画，绣被共笼薰。偏增使君妒，无趣遣相闻①。
在县中庭看月诗（南北朝·刘缓）　　押侵韵	移榻坐庭阴，初弦时复临。侍儿能劝酒，贵客解弹琴。柏叶生鬟内，桃花出髻心。月光移数尺，方知夜已深①。
新月诗（南北朝·刘缓）　　押尤韵	仙宫云箔卷，露出玉帘钩。清光无所赠，相忆凤凰楼①。
