思公子（南北朝·邢邵）　　押职韵	绮罗日减带，桃李无颜色。思君君未归，归来岂相识①。
三日华林园公宴诗（南北朝·邢邵）　　押支韵	回銮自乐野，弭盖属瑶池。五丞接光景，七友树风仪。芳春时欲遽，览物惜将移。新萍已冒沼，馀花尚满枝。草滋径芜没，林长山蔽亏。芳筵罗玉俎，激水漾金卮。歌声断以续，舞袖合还离①。
冬夜酬魏少傅直史馆诗（南北朝·邢邵）　　押寒韵	年病从横至，动息不自安。兼豆未能饱，重裘讵解寒。况乃冬之夜，霜气有馀酸。风音响北牖，月影度南端。灯光明且灭，华烛新复残。衰颜依候改，壮志与时阑。体羸不尽带，发落强扶冠。夜景将欲近，夕息故无宽。忽有清风赠，辞义婉如兰。先言叹三友，末言惭一官。丽藻高郑卫，专学美齐韩。审谕虽有属，笔削少能干。高足自无限，积风良可抟。空想青门易，宁见赤松难。寄语东山道，高驾且盘桓①。
冬日伤志篇（南北朝·邢邵）	昔时惰游士，任性少矜裁。朝驱玛瑙勒，夕衔熊耳杯。折花步淇水，抚瑟望丛台。繁华夙昔改，衰病一时来。重以三冬月，愁云聚复开。天高日色浅，林劲鸟声哀。终风激檐宇，馀雪满条枚。遨游昔宛洛，踟蹰今草莱。时事方去矣，抚己独伤怀①。
七夕诗（南北朝·邢邵）　　押职韵	盈盈河水侧，朝朝长叹息。不吝渐衰苦，波流讵可测。秋期忽云至，停梭理容色。束衿未解带，回銮已沾轼。不见眼中人，谁堪机上织。愿逐青鸟去，暂因希羽翼①。
齐韦道逊晚春宴诗（南北朝·邢邵）　　押鱼韵	日斜宾馆晚，风轻麦候初。檐喧巢幕燕，池跃戏莲鱼。石声随流响，桐影傍岩疏。谁能千里外，独寄八行书①。
应召甘露诗（南北朝·邢邵）	膏露且渐洽，凝液汭旌旗。草木尽沾被，玉散复珠霏。谁谓穹昊远，道合若应机①。
贺老人星诗（南北朝·邢邵）　　押冬韵	瑞动星光照，化穆月轮重。庶徵符祉箓，将以赞时雍①。
甘露颂（南北朝·邢邵）　　押先韵	休徵屡动，感极回天。流甘委素，玉润冰鲜。密房下结，珠琲上悬。布濩林野，洒散旌旃。
诗（南北朝·邢邵）　　押职韵	安得金仙术。两臆生羽翼①。
