近代杂歌 浔阳乐（南北朝·鲍令晖）　　押删韵	稽亭故人去，九里新人还。送一便迎两，无有暂时闲。
近代吴歌 上声（南北朝·鲍令晖）　　押纸韵	留衫绣两裆，迮置罗裳里。微步动轻尘，罗衣随风起。
近代吴歌 前溪（南北朝·鲍令晖）　　押先韵	黄茑结蒙茏，生在洛溪边。花落逐流去，何见逐流还。
拟青青河畔草诗（南北朝·鲍令晖）　　押东韵	袅袅临窗竹，蔼蔼垂门桐。灼灼青轩女，泠泠高堂中。明志逸秋霜，玉颜掩春红。人生谁不别，恨君早从戎。鸣弦惭夜月，绀黛羞春风①。
拟客从远方来诗（南北朝·鲍令晖）　　押侵韵	客从远方来，赠我漆鸣琴。木有相思文，弦有别离音。终身执此调，岁寒不改心。愿作阳春曲，宫商长相寻①。
代葛沙门妻郭小玉作诗二首（南北朝·鲍令晖）　　押真韵	明月何皎皎，垂幌照罗茵。若共相思夜，知同忧怨晨。芳华岂矜貌，霜露不怜人。君非青云逝，飘迹事咸秦。妾持一生泪，经秋复度春①。
题书后寄行人诗（南北朝·鲍令晖）	自君之出矣，临轩不解颜。砧杵夜不发，高门昼恒关。帐中流熠耀，庭前华紫兰。物枯识节异，鸿来知客寒。游用暮冬尽，除春待君还①。
寄行人诗（南北朝·鲍令晖）　　押叶韵	桂吐两三枝，兰开四五叶。是时君不归，春风徒笑妾①。
古意赠今人诗（南北朝·鲍令晖）	寒乡无异服，衣毡代文练。日月望君归，年年不解綖。荆扬春早和，幽冀犹霜霰。北寒妾已知，南心君不见。谁为道辛苦，寄情双飞燕。形迫杼煎丝，颜落风催电。容华一朝尽，惟馀心不变①。
