箫史曲（南北朝·张融）　　押东韵	引响犹天外，吟声似地中。戴胜噪落景，龙喷清霄风①。
忧且吟（南北朝·张融）　　押侵韵	鸣琴当春夜，春夜当鸣琴。羁人不及乐，何似千里心①。
别诗（南北朝·张融）　　押月韵	白云山上尽，清风松下歇。欲识离人悲，孤台见明月①。
白日歌（南北朝·张融）	白日白日，舒天昭晖。数穷则尽，盛满则衰①。
赠何点诗（南北朝·张融）　　押侵韵	惜哉何居士，薄暮遘荒淫（○梁书何点传）。
