征行诗（南北朝·高昂）　　押有韵	垄种千口牛，泉连百壶酒。朝朝围山猎，夜夜迎新妇①。
从军与相州刺史孙腾作行路难（南北朝·高昂）　　押职韵	卷甲长驱不可息，六日六夜三度食。初时言作虎牢停，更被处置河桥北。回首绝望便萧条，悲来雪涕还自抑①。
赠弟季式诗（南北朝·高昂）　　押纸韵	怜君忆君停欲死，天上人间无可比。走马海边射游鹿，偏坐石上弹鸣雉。昔时方伯愿三公，今日司徒羡刺史①。
