三妇艳诗（南北朝·刘铄）　　押霰韵	大妇裁雾縠，中妇牒冰练。小妇端清景，含歌登玉殿。丈人且徘徊，临风伤流霰①。
白纻曲（南北朝·刘铄）	仙仙徐动何盈盈，玉腕俱凝若云行。佳人举袖辉青蛾，掺掺擢手映鲜罗。状似明月泛云河，体如轻风动流波①。
拟行行重行行诗（南北朝·刘铄）　　押支韵	眇眇陵长道，遥遥行远之。回车背京里，挥手从此辞。堂上流尘生，庭中绿草滋。寒螀翔水曲，秋兔依山基。芳年有华月，佳人无还期。日夕凉风起，对酒长相思。悲发江南调，忧委子衿诗。卧看明镫晦，坐见轻纨缁。泪容不可饰，幽镜难复治。愿垂薄暮景，照妾桑榆时①。
拟明月何皎皎诗（南北朝·刘铄）　　押月韵	落宿半遥城，浮云蔼层阙。玉宇来清风，罗帐延秋月。结思想伊人，沈忧怀明发。谁为客行久，屡见流芳歇。河广川无梁，山高路难越①。
拟孟冬寒气至诗（南北朝·刘铄）　　押鱼韵	白露秋风始，秋风明月初。明月照高楼，白露皎玄除。迨及凉风起，行见寒林疏。客从远方至，赠我千里书。先叙怀旧爱，末陈久离居。一章意不尽，三复情有馀。愿遂平生志，无使甘言虚①。
拟青青河边草诗（南北朝·刘铄）　　押翰韵	凄凄含露台，肃肃迎风馆。思女御棂轩，哀心彻云汉。端抚悲弦泣，独对明灯叹。良人久徭役，耿介终昏旦。楚楚秋水歌，依依采菱弹①。
代收泪就长路诗（南北朝·刘铄）　　押文韵	耸辔高陵曲，挥袂广川濆。黄尘昏白日，悲风起浮云。萧条万里别，契阔三秋分。时往从朝露，年来惊夕氲。徘徊去芳节，依迟从远军①。
过历山湛长史草堂诗（南北朝·刘铄）	兹岳蕴虚诡，凭览趣亦赡。九峰相接连，五渚逆萦浸。层阿疲且引，绝岩畅方禁。溜众夏更寒，林交昼常荫。伊余久缁涅，复得味恬淡。愿逐安期生，于焉惬高枕①。
七夕咏牛女诗（南北朝·刘铄）　　押月韵	秋动清风扇，火移炎气歇。广檐含夜荫，高轩通夕月。安步巡芳林，倾望极云阙。组幕萦汉陈，龙驾凌霄发。谁云长河遥，颇剧促筵越。沈情未申写，飞光已飘忽。来对眇难期，今欢自兹没①。
歌诗（南北朝·刘铄）　　押阳韵	昊天晴且高，秋气发初凉。白露下微津，明月流素光。凝烟泛城阙，凄风入轩房。朱华先零落，绿草就芸黄。纤罗还笥箧，轻纨改衣裳①。
