蒲坂行（南北朝·陆厥）　　押马韵	江南风已春，河间柳已把。雁反无南书，寸心何由写。流泊祁连山，飘飖高阙下①。
齐歌行（南北朝·陆厥）	黄金徒满籯，不如守章句。雪宫纷多士，稷下岌成覆。同载双连珠，合席悬河注。垂帷五行下，操笔百金赋。华屋大车方，高门四马驱。玄豹空不食，南山隐云雾①。
南郡歌（南北朝·陆厥）　　押泰韵	江南可采莲，莲生荷已大。旅雁向南飞，浮云复如盖。望美积风露，疏麻成襟带。双珠惑汉皋，蛾眉迷下蔡。玉齿徒粲然，谁与启含贝①。
邯郸行（南北朝·陆厥）　　押遇韵	赵女擪鸣琴，邯郸纷躧步。长袖曳三街，兼金轻一顾。有美独临风，佳人在遐路。相思欲褰衽，丛台日已暮①。
左冯翊歌（南北朝·陆厥）　　押麌韵	上林潏紫泉，离宫赫千户。飞鸣乱凫雁，参差杂兰杜。比翼独未群，连叶谁为伍。一物或难致，无云泣易睹①。
京兆歌（南北朝·陆厥）	兔园夹池水。修竹复檀栾。不如黄山苑。储胥与露寒。逦迤傍无界。岑崟郁上干。上干入翠微。下趾连长薄。芳露浸紫茎。秋风摇素萼。雁起宵未央。云间月将落。照梁桂兮影徘徊。承露盘兮光照灼。寿陵之街走狐兔。金卮玉碗会销铄。愿奉蒲萄花。为君实羽爵①。
李夫人及贵人歌（南北朝·陆厥）	属车桂席尘。豹尾香烟灭。彤殿向蘼芜。青蒲复萎绝。坐萎绝。对蘼芜。临丹阶。泣椒涂。寡鹤羁雌飞且止。雕梁翠壁网蜘蛛。洞房明月夜。对此泪如珠①。
中山王孺子妾歌二首（南北朝·陆厥）	未央才人。中山孺子。一笑倾城。一顾倾市。倾城不自美。倾市复为容。愿把陵阳袖。披云望九重①。
临江王节士歌（南北朝·陆厥）	木叶下。江波连。秋月照浦云歇山。秋思不可裁。复带秋风来。秋风来已寒。白露惊罗纨。节士慷慨发冲冠。弯弓挂若木。长剑竦云端①。
奉答内兄希叔诗（南北朝·陆厥）　　押元韵	嘉惠承帝子，躧履奉王孙。属叨金马署，又点铜龙门。出入平津邸，一见孟尝尊。归来翳桑柘，朝夕异凉温。
