从军五更转五首（南北朝·伏知道）　　押庚韵	一更刁斗鸣，校尉逴连城。遥闻射雕骑，悬惮将军名①。
咏人聘妾仍逐琴心诗（南北朝·伏知道）　　押灰韵	春色转相催，佳人心自回。长卿琴已弄，秦嘉书未来。挂冠易分绶，荐枕缺因媒。染香风即度，登垣花正开。贞楼若高下，如何上阳台①。
赋得招隐（南北朝·伏知道）　　押庚韵	招隐访仙楹，丘中琴正鸣。桂丛侵石路，桃花隔世情。薄暮安车近，林喧山鸟惊①。
