歌（汉·东方朔）	陆沉于俗。避世金马门。宫殿中可以避世全身。何必深山之中蒿庐之下①。
嗟伯夷（汉·东方朔）	穷隐处兮窟穴自藏。与其随佞而得志兮。不若从孤竹于首阳①。
七言（汉·东方朔）　　押先韵	折羽翼兮摩苍天①。
六言（汉·东方朔）	合樽促席相娱①，计策弃捐不收②。
七谏 初放（汉·东方朔）	平生于国兮长于原壄。言语讷譅兮又无彊辅。浅智褊能兮闻见又寡。数言便事兮见怨门下。王不察其长利兮卒见弃乎原壄。伏念思过兮无可改者。群众成朋兮上浸以惑。巧佞在前兮贤者灭息。尧舜圣已没兮孰为忠直？高山崔巍兮水流汤汤。死日将至兮与麋鹿如坈。块兮鞠，当道宿，举世皆然兮余将谁告？斥逐鸿鹄兮近习鸱枭，斩伐橘柚兮列树苦桃。便娟之修竹兮寄生乎江潭。上葳蕤而防露兮下泠泠而来风。孰知其不合兮若竹柏之异心。往者不可及兮来者不可待。悠悠苍天兮莫我振理。窃怨君之不寤兮吾独死而后已。
