思友诗（汉·梁鸿）　　押支韵	鸟嘤嘤兮友之期。念高子兮仆怀思。想念恢兮爰集兹①。
五噫歌（汉·梁鸿）	陟彼此芒兮噫。顾览帝京兮噫。宫室崔嵬兮噫。民之劬劳兮噫。辽辽未央兮噫①。
适吴诗（汉·梁鸿）	逝旧邦兮遐征，将遥集兮东南。心惙怛兮伤悴，忘菲菲兮升降。欲乘策兮纵迈，疾吾俗兮作谗。竞举枉兮措直，咸先佞兮唌唌。固靡惭兮独建，冀异州兮尚贤。聊逍遥兮遨嬉，缵仲尼兮周流。傥云睹兮我悦，遂舍车兮即浮。过季札兮延陵，求鲁连兮海隅。虽不察兮光貌，幸神灵兮与休。惟季春兮华阜，麦含英兮方秀。哀茂时兮逾迈，悯芳香兮日臭。悼吾心兮不获，长委结兮焉究。口嚣嚣兮余讪，嗟恇恇兮谁留①。
