桂（汉·杨孚）	桂之灌生，必粹其族。柯叶不渝，冬夏常绿。□匪桂植，在乎嵩岳①。
蚺（汉·杨孚）　　押阳韵	蚺惟大蛇，既洪且长。采色驳荦，其文锦章。食豕吞鹿，腴成养创。宾享嘉宴①，是豆是觞②。
摩厨（汉·杨孚）	木有摩厨，生于斯调①。厥汁肥润，其泽如膏。馨香馥郁，可以煎熬②。彼州之民，仰为嘉肴③。
榕（汉·杨孚）	榕树栖栖，长与少殊①。高出林表，广荫原丘。孰知初生，葛蔂之俦②。
丈草（汉·杨孚）　　押未韵	丈草作酒，能成其味。以金买草，不言其贵①。
鲛（汉·杨孚）　　押屋韵	鲛之为鱼，其子既育。惊必归母，还入其腹。小则如之，大则不复①。
三薕（汉·杨孚）　　押覃韵	三薕大实，实不但三①。食之多汁，味酸且甘。藏之尤好，与果相参②。
周留（汉·杨孚）　　押尤韵	苍毛豕身，角若担矛。卫护其犊，与虎为雠①。
鹧鸪（汉·杨孚）　　押虞韵	鸟象雌鸡①，自名鹧鸪。其志怀南，不思北徂②。
犀（汉·杨孚）	于惟玄犀①，处自林麓。食惟棘刺②，体兼五肉。或有神异，表灵以角③。含精吐烈，望若华烛④。置之荒野，禽兽莫触。
贝（汉·杨孚）	乃有大贝，奇姿难俦①。素质紫饰，文若罗珠②。不磨而瑩③，采耀光流④。思雕莫加，欲琢靡踰。在昔姬伯，用免其拘⑤。
象（汉·杨孚）	象之为兽，形体特诡。身倍数牛，目不逾狶。鼻为口役，望头若尾。驯良承教，听言则跪。素牙玉洁，载籍所美。服重致远，行如丘徙①。
