朱鹭（汉·两汉乐府）　　押马韵	朱鹭，鱼以乌，路訾邪，鹭何食，食茄下。不之食，不以吐，将以问谏者。
思悲翁（汉·两汉乐府）	思悲翁。唐思。夺我美人侵以遇。悲翁但思。蓬首狗。逐狡兔。食交君。枭子五。枭母六。拉沓高飞莫安宿①。
艾如张（汉·两汉乐府）	艾而张罗。夷于何。行成之。四时和。山出黄雀亦有罗。雀以高飞奈雀何。为此倚欲。谁肯礞室①。
上之回（汉·两汉乐府）	上之回。所中益。夏将至。行将北。以承甘泉宫。寒暑德。游石关。望诸国。月支臣。匈奴服。令从百官疾驱驰。千秋万岁乐无极①。
翁离（汉·两汉乐府）	拥离趾中可筑室。何用葺之蕙用兰。拥离趾中①。
战城南（汉·两汉乐府）	战城南。死郭北。野死不葬乌可食。为我谓乌。且为客豪。野死谅不葬。腐肉安能去子逃。水深激激。蒲苇冥冥。枭骑战斗死。驽马裴回鸣。梁筑室。何以南。何以北。禾黍不获君何食。愿为忠臣安可得。思子良臣。良臣诚可思。朝行出攻。莫不夜归①。
巫山高（汉·两汉乐府）	巫山高。高以大。淮水深。难以逝。我欲东归。害梁不为。我集无高曳。水何梁。汤汤回回。临水远望。泣下沾衣。远道之人心思归。谓之何①。
上陵（汉·两汉乐府）	上陵何美美。下津风以寒。问客从何来。言从水中央。桂树为君船。青丝为君笮。木兰为君棹。黄金错其间。沧海之雀赤翅鸿。白雁随。山林乍开乍合。曾不知日月明。醴泉之水。光泽何蔚蔚。芝为车。龙为马。览遨游。四海外。甘露初二年。芝生铜池中。仙人下来饮。延寿千万岁①。
将进酒（汉·两汉乐府）	将进酒。乘大白。辨加哉。诗审搏。放故歌。心所作。同阴气。诗悉索。使禹良工。观者苦①。
君马黄（汉·两汉乐府）	君马黄。臣马苍。二马同逐臣马良。易之有騩蔡有赭。美人归以南。驾车驰马。美人伤我心。佳人归以北。驾车驰马。佳人安终极①。
芳树（汉·两汉乐府）	芳树日月君乱如于风。芳树不上无心。温而鹄。三而为行。临兰池。心中怀怅。心不可匡。目不可顾。妒人之子愁杀人。君有它心。乐不可禁。王将何似。如丝如鱼乎。悲矣①。
有所思（汉·两汉乐府）	有所思。乃在大海南。何用问遗君。双珠玳瑁簪。用玉绍缭之。闻君有它心。拉杂摧烧之。摧烧之。当风扬其灰。从今以往。勿复相思。相思与君绝。鸡鸣狗吠。兄嫂当知之。秋风肃肃晨风飔。东方须臾高知之①。
雉子班（汉·两汉乐府）	雉子班如此之于雉梁。无以吾翁孺雉子。知得雉子高飞止。黄鹄飞之以千里。王可思雄来飞从雌视子。趋一雉雉子车大驾马滕被王送行所中。尧羊飞从王孙行①。
圣人出（汉·两汉乐府）	圣人出。阴阳和。美人出。游九河。佳人来。騑离哉何。驾六飞龙四时和。君之臣明护不道。美人哉。宜天子。免甘星筮乐甫始。美人子。含四海①。
上邪（汉·两汉乐府）	上邪。我欲与君相知。长命无绝衰。山无陵。江水为竭。冬雷震震夏雨雪。天地合。乃敢与君绝①。
临高台（汉·两汉乐府）	临高台以轩。下有清水清且寒。江有香草目以兰。黄鹄高飞离哉翻。关弓射鹄。令我主寿万年。收中吾①。
远如期（汉·两汉乐府）	远如期。益如寿。处天左侧。大乐万岁。与天无极。雅乐陈。佳哉纷。单于自归。动如惊心。虞心大佳。万人还来。谒者引。乡殿陈。累世未尝闻之。增寿万年亦诚哉①。
石留（汉·两汉乐府）	石留凉阳凉石。水流为沙锡以微。河为香向始𥡙。冷将风阳北逝。肯无敢于于扬。心邪怀兰志金安薄北方开留离兰①。
箜篌引（汉·两汉乐府）　　押歌韵	公无渡河，公竟渡河。堕河而死，当柰公何①。
江南（汉·两汉乐府）	江南可采莲。莲叶何田田。鱼戏莲叶间。鱼戏莲叶东。鱼戏莲叶西。鱼戏莲叶南。鱼戏莲叶北①。
