蜡除诗（魏晋·张望）　　押轸韵	玄灵告稔谢，青龙驾拂轸。鲜冰迎流结，凝留垂檐霣。人欣八蜡畅，讵知岁聿尽①。
贫士诗（魏晋·张望）　　押曷韵	荒墟人迹稀，隐僻闾邻阔。苇篱自朽损，毁屋正寥豁。炎夏无完絺，玄冬无暖褐。四体困寒暑，六时疲饥渴。营生生愈瘁，愁来不可割①。
正月七日登高作诗（魏晋·张望）　　押屋韵	玄云敛夕煞，青阳舒朝愥。熙哉陵冈娱，眺盻肆回目①。
