竹扇诗（魏晋·许询）　　押梗韵	良工眇芳林，妙思触物骋。篾疑秋蝉翼，团取望舒景①。
农里诗（魏晋·许询）	亹亹玄思得，濯濯情累除①。
诗（魏晋·许询）　　押庚韵	青松凝素髓，秋菊落芳英①。
