枣下何纂纂二首（隋·王胄）　　押微韵	柳黄知节变，草绿识春归。复①道含云影，重檐照日辉②。
敦煌乐二首（隋·王胄）　　押沃韵	长途望无已，高山断还续。意欲此念时，气绝不成曲①。
纪辽东二首（隋·王胄）	辽东浿水事龚行。俯拾信神兵。欲知振旅旋归乐。为听凯歌声。十乘元戎才渡辽。扶濊已冰消①。讵似百万临江水。按辔空回镳②。
奉和赐酺诗（隋·王胄）　　押虞韵	河洛称朝市，崤函实奥区。周营曲阜作，汉建奉春谟。大君苞二代，皇居盛两都。招摇正东指，天驷乃西驱。展軨齐玉软，式道耀金吾。千门驻罕毕，四达俨车徒。是节春之暮，神皋华实敷。皇情感时物，睿思属枌榆。诏问百年老，恩隆五日酺。小人荷熔铸，何由答大炉①。
言反江阳寓目灞涘赠易州陆司马诗（隋·王胄）　　押寒韵	游人卖药罢，徐步反江干。行吟①灞陵岸，回首望长安。晨华照城阙，参差复郁盘。千门含日丽，万雉映霞丹。云开承露掌，吹动相风竿。游童轻薄少，鲜服鵔鸃冠。花开傅粉晏，尘起副车韩。屡投双飞剑，曾操两色丸。挂（文苑作桂）玉要游女，弹珠落矫翰。信美非吾乐，何事久盘桓。欲动③南登②咏，还谣北上难。眷言思旧（文苑作故）友，徂④远路漫漫。燕陲望楚服，天际与云端。棹发吴涛上，荆歌易水寒。十年阻风月，万里别金兰。心期竟何许，怀抱日摧残。容华冉冉谢，衣带朝朝宽。盛宪宁延寿，刘琨自少欢。宿昔均取舍，同波岂异澜。赠言不尽意，掷笔起长叹⑤。
酬陆常侍诗（隋·王胄）　　押纸韵	相知四十年，别离万馀里。君留五湖曲，余去三河涘。寒检君后凋，溺灰余仅死。何言西北云，复觌东南美。深交不忘故，飞觞敦宴喜。赠藻发中情，奇音迈流徵。追惟中岁日，于斯同憩止。思之宛如昨，倏焉逾二纪。畴昔多朋好，一旦埋蒿里。无人莫己知，有恸伤知己。把臂还相泣，岿然吾与子。沾襟行自念，哀哉亦已矣。吾归在漆园，著书试词①理。劳息乃殊致，存亡宁异轨。大路不能遵，咄哉情可（文苑作何）鄙②。
答贺属诗（隋·王胄）　　押庚韵	外黄初邸客，蜀郡晚琴声。本欲从张耳，何曾说马卿。定知游道日，非是第（文苑作弟）如行。高文拟杂佩，善谑间瑶琼。前书言家室，末叙挂簪缨。问仁宁伐国，扬波岂乱清。闻有阳台客①，常留入梦②情。无为③嗟独割，空引助庖名④。
卧疾闽越述净名意诗（隋·王胄）	客行万馀里，眇然沧海上。五岭常炎郁，百越多山瘴。兼以劳形神，遂此婴疲恙。桐雷邈已远，砭石良难访。抱影私自怜，沾襟独惆怅。毗城有长者，生平夙①所尚。复藉大因缘，勉以深回向。心路资调伏，于焉念实相。水沫②本难摩，乾城空有庆。是生非至理，是我皆虚妄。求之不可得，谁其受业障。信矣大医王，兹力诚难④量③。
别周记室诗（隋·王胄）　　押元韵	五里徘徊鹤，三声断绝猿。何言俱失路，相对泣离樽。别意凄无已，当歌寂不喧。贫交欲有赠，掩涕竟无言①。
赋得雁送别周员外戍岭表诗（隋·王胄）　　押阳韵	旅雁别衡阳，天寒关路长。行断由惊①箭，声嘶为犯霜。罹②缴无人悯，能鸣反自伤。何如侣泛泛③，刷羽戏方塘④。
为寒床妇赠夫妇诗（隋·王胄）　　押阳韵	月净闺偏冷，更深夜转长。霜纨犹掩扇，露縠未飘香。解带惭连理，引被愧鸳鸯。谁能未相识，还为守空床①。
雨晴诗（隋·王胄）　　押阳韵	初晴物候凉，夕景照山庄。残虹低饮涧，新溜上侵塘。风度蝉声远，云开雁路长①。
西园游上才（隋·王胄）　　押灰韵	西园游上才，清夜可徘徊。月桂临樽上，山云影盖来。飞花随烛度，疏叶向帷开。当轩顾应阮，还觉贱邹枚①。
在陈释奠金石会应令诗（隋·王胄）	元气氤氲，玄风缅邈。垂衣钻燧，修文反朴。异代殊时，袭礼沿乐。损益虽著，罔弗于学。体斯将圣，实表宗师。三千仰德，五百应期。除丘黜素，定礼删诗。作训垂范，斯文在兹。有梁不造，群胡蹈轶。圣教沦胥，微言殄瘁。大陈光启，搜扬遗逸。儒雅成林，诗书闲出。我星纂历，负扆握图。文同四表，教渐八区。韬戈偃革，抑末崇儒。矩步接武，缝掖相趋。元良继体，作睿惟则。明乃离照，泽符震德。审谕宁陈，圭璋靡忒。聿修三善，以贞万国。展兹鸾驾，敬业兽门。尚仁降礼，齿胄纡尊。式陈俎豆，夤荐蘋蘩。иね成列，丝竹相喧。奠飨斯洽，克谐嘉宴。酒溢金罍，肴分玉馔。肃肃冠冕，诜诜巾卷。咸资楙德，是称俊选。时惟岁聿，律变灰迁。鸿门寒重，璧水冰坚。风移瑞气，日藻非烟。空知庆跃，何答陶甄①。
白马篇（隋·王胄）	白马黄金鞍①，蹀躞柳城前。问此何乡客，长安恶少年。结发从戎事，驰名振朔边。良弓控繁弱，利剑挥龙泉②。披林扼凋虎，仰手接飞鸢。前年破③沙漠，昔岁取祁连。折冲摧右校，搴旗殪左贤。昆弥还谢力，庆忌本推儇。海外平④遐险，来庭识负褰⑤。三韩劳薄伐，六事指幽燕。良家选河右，猛将征（文苑作徵）西山。浮云屯羽骑，蔽日引长旃。自矜有馀勇，应募忽争先。王师已得隽（乐府作俊），夷首失求⑥全。鼓行徇（乐府作徇）玉检⑦，乘胜荡朝鲜。志勇期⑧功立，宁惮微躯捐。不羡山河赏，谁（乐府作唯）希竹素传⑨。
燕歌行（隋·王胄）　　押沃韵	庭草无人随意绿①。
