漫书（金·李澥）　　七言绝句　押阳韵	胸怀平日窗八达，伎俩只今龟六藏。唯有閒情如老菊，寒花自信晚能香。
二老雪行图（金·李澥）　　七言绝句　押删韵	雪明万仞邺西山，杖履平生几往还。满眼京尘空对画，何时真似两翁閒。
秘书张监墨梅图（张南人）（金·李澥）　　七言绝句　押麻韵	眼中只有梅千树，不挂世间蜂蝶花。十载江南春梦断，至今清影在君家。
灯下梅影（金·李澥）　　七言绝句　押鱼韵	丁年夜坐眼如鱼，老矣而今不读书。墙角短檠还有用，瓦瓶相对一枝疏。
