许道宁群峰暮雪（金·赵之杰）　　七言绝句　押真韵	道士平生林野人，醉中拈出雪峰真。为君疗却烟霞癖，比似青囊药更神。
题济源龙潭寺（金·赵之杰）　　七言绝句　押覃韵	树围修竹竹围庵，庵下泓然碧一潭。极目荷花半秋色，小横图上看江南。
除夜（金·赵之杰）　　押质韵	日月不肯留，岁历倏云毕。僧坊见节物，新正在明日。夜半拊枕叹，半百又加七。形骸念念改，膂力能不失。经言男数八，此去才有一。健者未可期，况乃常衰疾。物情忌盈满，君子慎名实。行矣安退閒，吾其保终吉。
