梨花（金·段继昌）　　七言绝句　押阳韵	一林轻素媚春光，透骨浓薰百和香。消得太真吹玉笛，小庭人散月如霜。
一溪（金·段继昌）　　七言绝句　押麻韵	一溪流水走青蛇，春在江边渔父家。竹外寒梅看欲尽，清香移入小桃花。
春早二首（金·段继昌）　　七言绝句　押东韵	鱼儿水汎鸭头绿，野马尘飞羊角风。西崦山家篱落背，杏梢初见一分红。
读纪信传（金·段继昌）　　七言绝句　押庚韵	鹿走中原两虎争，荥阳围解事堪惊。当时拔剑论功者，矢口何人说纪生。
