寒食（金·侯册）　　七言绝句　押歌韵	交游零落叶辞柯，岁月峥嵘马注坡。燕子不来寒食过，满城风雨落红多。
昨朝（金·侯册）　　七言绝句　押支韵	昨朝已作春归辞，今日还成送客诗。客子春光俱不见，落花寂寂闭门时。
楚宫（金·侯册）　　七言绝句　押东韵	离宫楼阁与天通，暮雨朝云入梦中。回首旧时歌舞地，女萝山鬼泣秋风。
醉中（金·侯册）	烂醉归来驴失脚，破靴指天冠倒卓。起来白眼望青天，狂气峥嵘无处著。陶潜止酒意有在，餔糟醊醨良未害。君看谢奕对桓温，得失老兵何足怪。螟蛉蜾蠃待二豪，饮中宁有山家涛。平明径访陈惊坐，相对春风把蟹螯。
学古体（金·侯册）	桐风吹月乌啼井，蟾波湿露沉云影。素丝牵玉转泉华，美人睡觉燕支冷。银钩挂帘北窗晓，翠鬟临镜双鸾小。黄衫少年望不来，寂寂庭阶满春草。
