和柔君绝句二首（近现代·张其锽）　　七言绝句　押先韵	湖海飘摇日似年，相思两地尚依然。壮心自笑成何事，惭愧佳人寄锦笺。
念奴娇（近现代·张其锽）	客中滋味总无赖，费尽思量消遣。酒淡愁浓，翻酿就、蓦里相思一点。目断春波，刚流还涨，比离情深浅。更堪风雨，夜来添得人倦。默想身世遭逢，纵子虚能赋，应无扬监。久病相如，看药炉、瘦尽镜中春脸。留得团圆，便著书终老，穷愁未厌。酒尊空否，鹴裘待我归典。
菩萨蛮（近现代·张其锽）	此行那是真离别。归期不过三圆月。无奈是相思。心头总不离。兰闺清不睡。料得同滋味。点滴记分明。归时较重轻。
蝶恋花 寄怀伯莹，且慨时也（近现代·张其锽）	历遍燕齐多少路。祗有离情，到处随侬去。小立芳庭看舞絮。愁心过了春申浦。城外青芜云外树。望尽中原，无地留人住。时鸟乱啼春易暮。晚阴更酿风和雨。
西江月 甲辰元日试笔（近现代·张其锽）	并茂北堂萱草，联芳棠棣之华。瑟琴和乐庆宜家。清福向天多谢。天马自然飞跃，云龙总是腾拿。蜚声杏花独探花。方信文章有价。
