赠常熟庞士龙（清末近现代初·夏敬观）　　七言绝句　押豪韵	使铁能如腕使毫，书家治印艺尤高。亲传笔法由阿父，精绝何殊传寿毛。
浣溪沙 题抱香室填词图（清末近现代初·夏敬观）	独抱幽香倚枕吟。纫兰谁会楚骚心。笼弦过指听商音。栩栩庄周花罥蝶，声声杜宇竹栖禽。物情相感意俱深。
天香 抱香室填词图题辞，和原韵（清末近现代初·夏敬观）	天外凭栏，秋边倚篴，无情烟柳如此。散雨吴杯，吟霜楚调，负却怨红愁绮。沧江夜迥，刚曲罢、冷蟾飞起。孤感遁惊云鬟，新寒暗怜姜指。迢迢梦华帝里。睇长陵、堕烟凝紫。悄熨海南残炷，寸心灰矣。古恨人间解围，早移尽、霓裳旧宫徵。怕理危弦，声声惹泪。
