戏和燕生自君之出矣九章选三（丙辰）（近现代·赵娴清）　　五言绝句　押支韵	自君之出矣，形单影复痴。望彼双飞雁，增我长相思。
结缡三周纪念日书此以寄燕郎（丁巳）（近现代·赵娴清）　　押真韵	三春景色最堪珍，转眼黄梅争效颦。叹彼天公如有意，故将牛女隔恨津。千里遥隔魂飞苦，三载相思梦亦贫。日将努力磨岁月，为郎抛得几多春。
答燕生（丁巳）（近现代·赵娴清）　　押元韵	惊君海誓感君恩，勾起离情复泪痕。远念已堪劳梦寐，新诗何尔又温存。同情原誓常比翼，妇职当然又和论。惟嘱珍重休远虑，他日功成振家门。
寄燕生小照并系以诗（戊午）（近现代·赵娴清）　　押庚韵	小试分身术，遥托万里情。言谈虽不解，眉目自分明。
戏和燕生自君之出矣九章选三（丙辰） 其二（近现代·赵娴清）　　押皓韵	自君之出矣，梦魂常颠倒。探手搂君颈，空搂不在抱。
