参加国际朱熹学术讲座会有感（近现代·冯友兰）　　七言绝句　押东韵	白鹿薪传一代宗，流行直到海之东。何期千载檀香月，也照匡庐洞里风。
满江红 西南联合大学校歌（近现代·冯友兰）	万里长征，辞却了、五朝宫阙。暂驻足、衡山湘水，又成离别。绝徼移栽桢干质，九州洒遍黎元血。尽笳吹、弦诵在山城，情弥切。千秋耻，终当雪。中兴业，须人杰。便一成三户，壮怀难折。多难殷忧新国运，动心忍性希前哲。待驱除、仇寇复神京，还燕碣。
蝶恋花 游仙（近现代·冯友兰）	织女当机方织布。惊喜牛郎，千里来相顾。七夕未到来何骤。鹊桥未架怎生渡。你是只在灵霄住。不晓人间，革命风雷怒。工人修了成昆路。停车就在咱们处。
沁园春 四川参观（近现代·冯友兰）	壮丽山川，千里巴蜀，一月游踪。见斗天斗地，昂扬意气，忘劳忘我，宏阔心胸。大渡河边，渣滓洞里，巨笔都题乐在中①。移山业，都耻为智叟，勇为愚公。红军故道新工②。有三十年诗史交融③。想遵义会开，群尊北斗，娄山关越，词唱西风④。战胜冬寒，赢得春到，万水奔流尽向东。好形势，要直追急起，学向工农。
忆秦娥 娄山关（近现代·冯友兰）	思前烈。长空还照当时月。当时月。群峰围拱，流水呜咽。英雄壮志真如铁。雄关越了又重越①。又重越。铁兵钢轨②，红军碧血。
