赠康师四首（近现代·徐征吉）　　七言绝句　押歌韵	身世年来历劫多，今春又奏鼓盆歌①。凄凉触景兴怀夕，缅想伊人月色皤。
吴门杂咏四首（卅六年冬）（近现代·徐征吉）　　七言绝句　押齐韵	夹渠门巷绿杨堤，生小吴娃惯艇栖。最是日晴风细细，卖花声满画桥西①。
四二感怀戊子春四首（近现代·徐征吉）　　七言绝句　押先韵	岁月蹉跎四二年，久违乡井砚为田。频嗟家国无宁日，满目创痍汗马前①。
