春宵曲（近现代·张克家）	笑口如樊素，纤腰似小乔。暗里眼相招。欲留留不得，马嘶骄。
摘得新（近现代·张克家）	风一林。谁家小妇砧。冻檐冰箸坼，夜沈沈。轮蹄旅客惊残梦，起乡心。
碧窗梦（近现代·张克家）	岸转风帆稳，檐低酒旆平。子规烟里一舟横。不饮流光嗤我莫杯停。
潇湘神（近现代·张克家）	沽水流。沽水流。之元水汇大堤头。三里直河开不尽，可怜妃子梦中愁。
桂殿秋（近现代·张克家）	磨一剑，挂中庭。头颅几许饮寒星。未谙黄雀螳螂喻，只有鹓雏腐鼠惊。
捣练子（近现代·张克家）	情密密，意双双。小鹿心头不住撞。欲解罗襟清睡稳，狸奴瓦上使人𢥠。
江南春（近现代·张克家）	衣窄窄，髻松松。双轮驰若骛，四盏烛犹龙。如何觌面匆忙去，催场①今交十一钟。
法驾导引（近现代·张克家）	佳期误，佳期误，好事盼和谐。花影一帘人不至，杏楼妆罢卸钿钗。鬼卦凤头鞋。
一夜落（近现代·张克家）　　押宥韵	夜雨骤。檐前溜。薄寒衾枕风吹透。挑镫那复眠，坐听眉频皱。眉频皱。正是愁时候。
忆王孙（近现代·张克家）	十三楼畔捉迷藏。默记阑干第五行。雪白罗衫是粉郎。笑郎当。郎吃新茶送夕阳。
如梦令（近现代·张克家）	袅袅上山僧磬。曲曲下山松径。迢递数归程，几日侬家千乘。蹭蹬。蹭蹬。消受满林清听。
天仙子（近现代·张克家）	熠耀容光生鬒发。玉肤辉映船头月。估帆昨夜去浮梁，轻言别情断绝。荻叶荻花秋雁咽。
思帝乡（近现代·张克家）	一纸书、秋风鸿雁。扶侬到、江洲沙畔。甚工夫记得，昨宵梦见。渺愁予、将欲从头说，总模黏。
连理枝（近现代·张克家）	磔磔髯如汇。闪闪睛含碧。短服劲装，钩辀格桀，鲸呿鳌掷。那有温柔意。倚阑才见，红裙匿迹。
水晶帘（近现代·张克家）	碧天如幕月初三。也纤纤。也弯弯。画屏深处，女伴斗眉尖。屈指到团圞。十五重见，一镜开奁。
望江怨（近现代·张克家）	清江水。跨上金鳞赤色鲤。一霎行千里。小楼深处雕阑里。嗔和喜。好梦不归来，甘为多情死。
长相思（近现代·张克家）	花白头。鸟白头。花鸟争妍未是秋。如何看镜羞。今一邱。古一邱。绿鬓苍颜总似沤。到时休便休。
一痕沙（近现代·张克家）	锦簇花团轻幰。双马如飞莎阪。坠珥不须停。玉珑玲。前日学堂见惯。今日教堂觌面。金戒半消磨。奈卿何。
减字木兰花（近现代·张克家）	远山如画。送眼一泓秋水卖。十四年华。妒煞昭阳姊妹花。背人弹泪。堕落红尘无意思。暗解罗裙。缚作风帆上白云。
好事近（近现代·张克家）	好事隔红绳，流水一湾清浅。西风不知侬意，送檀郎帆转。从教芳讯阻，三年情思难消遣。欲寄一封书去，又瞢腾心懒。
