奉和益老散步中山公园四绝（近现代·吴天鹏）　　七言绝句	挚友行吟出院门，乍惊节序又秋分。木樨林里蝉声噪，犹喜莲塘泛绿痕。
奉和王益初吟友茗叙四绝（近现代·吴天鹏）　　七言绝句　押东韵	雪浪湖边绿树丛，故园秋色晚晴中。风流人物今称颂，万里河山一片红。
奉和益初大兄二绝（近现代·吴天鹏）　　七言绝句　押先韵	相逢回首话当年，沪渎归来共一船。马乱兵荒恨畴昔，风流人物数今天。
秋兴二首（近现代·吴天鹏）　　七言绝句　押尤韵	秋光胜似春光好，信步行吟一望收。露冷风高人寂寞，香飘丹桂自稠稠。
与王老茶叙公园遇雨偕往芙蓉小酌寄兴二首（近现代·吴天鹏）　　七言绝句　押支韵	滂沱大雨涨秋池，茶叙兼邀酒一卮。亭角勾留添逸兴，芙蓉对酌寄吟思。
西外小酌归途偶成（近现代·吴天鹏）　　七言绝句　押齐韵	寒鸦阵阵碧空啼，一路行吟夕照西。福地年年大变样，彩虹南北柳荫堤。
道经南菁澄翰和益老（近现代·吴天鹏）　　七言绝句　押真韵	巍峨黉舍大翻新，曩昔曾为执教人。北往连云南沪渎，今犹留得劫馀身。
悼韩晋藩逝世周年二首（近现代·吴天鹏）　　七言绝句　押真韵	识荆卅载笑谈新，小别遽成隔世人。艺苑高风仙鹤去，云林世许是前身。
