十六字令·游山口占（近现代·王亚南）	閒。游遍仙山海外天。逍遥处，何必问芝田。
閒中好·五阕（近现代·王亚南）	閒中好，蓬岛恣探幽。春暖日华永，潮平鸥梦酣。
卜算子·偶成（近现代·王亚南）	春来万卉蘤，春去群芳组。极目无名冶艳花，莫认春消息。春风不断吹，懒把江南忆。酒酌蓬莱日日春，未见春归急。
双调望江南·西螺廖菊友君午夜招饮徵歌，醉归赋此谢之（近现代·王亚南）	杨柳岸，昨夜醉旗亭。老酒觞浮流水曲，高怀兴共晓风清。花月快晴明。情酣畅，唱和漏频更。侠骨英雄悲隔世，柔肠儿女总倾城。余响遏云停。
醉蓬莱·简开运宗台（近现代·王亚南）	任芒鞋竹杖，踏遍名山，幽探瑶岛。振袂风来，正一年春好。万卉欣欣，递馨斗艳，更迎人含笑。绚烂韶华，清泠天籁，云间林表。记得同君，豆棚瓜架，閒话沧桑，旷怀吟啸。把酒台阳，趁月明和照。醉墨琳琅，繁花富贵，共玉山颓倒。淡水流长，方壶日永，思量多少。
蝶恋花·山居（近现代·王亚南）	底事撩愁千万斛。省识韶华，容易黄粱熟。高枕北窗酣睡足。山清流水添平绿。信手钩挑琴一曲。天淡云閒，草野风芳馥。剩有好书还自读。清凉皓魄穿梁屋。
酷相思·留别董子墨卿暨各乡台（近现代·王亚南）	缥缈仙山良夜午。月皎洁，当三五。看花柳、烟笼愁万绪。人至也，因风舞。人去也，因风舞。别意纷纭无说处。漫画个，相思树。想莫待、丁宁君记取。昔日也，情如许。今日也，情如许。
长相思·罗蕉麓杨志青两先生祖饯于温泉山馆，赋此留别（近现代·王亚南）　　押先韵	在山泉。出山泉。清浊流分顷刻间。云泥同黯然。意绵绵。恨绵绵。只是桃花潭水边。相思年复年。
桃源忆故人·归舟寄台南乃武开运等诸先生（近现代·王亚南）	萍踪转辗家园近。情绪无端愁损。欲寄故人书信。只觉言难尽。仙山深处花成阵。花谢花开谁问。蛱蝶粉红偷揾。自在栖香稳。
意难忘·归舟寄台北魏润庵先生（近现代·王亚南）　　押阳韵	云树苍茫。溯三千弱水，九十春光。花争冶艳，花散幽芳。兰雨歇，竹风凉。游趁日方长。却由来、声声杜宇，撩拨愁肠。劳劳形役忽忙。拣琴书诗卷，压我轻装。船如天上坐，人在水中央。归去也，意难忘。更忍看、唱酬缣素，笔墨淋浪。
