水塘夕照（近现代·吴中伟）　　五言绝句	塔山衔落日，倒影入澄潭。坐品水中雪，晚风无觉寒。
坝桥雪霁（近现代·吴中伟）　　七言绝句	坝桥春晓轻车过，垂柳雪装分外娇。千里秦川春水足，喜看三麦浪滔滔。
秋冬造田（近现代·吴中伟）　　七言绝句　押先韵	枫杨叶落涧潺潺，涨水平湖连碧天。心热风寒战天地，银锄耀目造新田。
晚牧（近现代·吴中伟）　　七言绝句　押阳韵	西岗晚牧坐斜阳，遍地黄花分外香。扑面风来十里浪，湖涛声里忆沧桑。
花都巴黎（近现代·吴中伟）　　七言绝句	夏雨秋晴冬少寒，花都似海四时斑。蔷薇色丽清香远，春夏秋冬一样丹。
游泳二首（近现代·吴中伟）　　七言绝句	学蛙游泳洗污尘，俯仰浮沈自在身。大浪大风何所惧，岂甘温室树栽盆。
杨庄秋色二首（近现代·吴中伟）　　七言绝句　押阳韵	葱茏青麦映湖光，气爽秋阳照草房。长夜霜侵村后树，缤芬五彩满杨庄。
