春江即事（近现代·王宸居）　　五言绝句　押沃韵	两岸草青青，江流去曲曲。时有小舟来，荡破春江绿。
蝉（近现代·王宸居）　　五言绝句　押阳韵	古木蝉声乱，纷纷唱夕阳。客中听不得，断续最凄凉。
暮游古寺（近现代·王宸居）　　五言绝句　押径韵	寺僻寂无人，山僧疑入定。隐隐烟树中，飞出一声磬。
月夜吟（近现代·王宸居）　　五言绝句	夜静寂无人，捲帘邀月入。我倦欲眠时，下帘推月出。
赠鞠建侯（近现代·王宸居）　　五言排律	相见不相亲，不如不相见。相亲不知心，相亲犹河汉。君本谪仙流，我非名硕彦。一见如故知，竟不弃贫贱。相对两忘形，朝夕两同砚。更将一片心，永期金石炼。
饷蚁（近现代·王宸居）	未改儿童性，偷閒学少小。偶捉花间蝶，携置槐安道。两蚁走相遭，归国各报晓。一国驾亲征，一国征尘绕。两军既相接，酣战何矫矫。相互有损折，伏尸知多少。不顾杀身忧，只图争一饱。我是旁观客，袖手久了了。愚顽我所弄，俨为一大造。山妻偶然值，举扇一挥扫。大呼老痴狂，相与一笑倒。
怪石（近现代·王宸居）	嘉彼一拳石，磊落多幽态。形状殊不同，各各负奇怪。或产深山中，或生烟水外。瘦削而玲珑，崎崄而云霭。泥沙不虞污，风日不虞坏。中坚自莫夺，生来成耿介。我生有颠癖，遇之辄钟爱。携归置案头，相对神不懈。相对却无言，无言更称快。朝夕具衣冠，折腰屡向拜。抱璞以此终，磥然长自在。不必学卞和，抱向君王卖。
怀书呆子（近现代·王宸居）	爱我壁上诗，和我壁上韵。淋漓数百言，句秀字亦劲。怪我不署名，渠亦不留姓。款曰书呆子，空留鸿爪印。自云性迂拙，诗书为性命。酷好山水游，所至必题咏。想见其生平，殆与我同病。意外得知音，弥使我增兴。此生倘相逢，刎颈结廉蔺。此生惜不逢，神交契心性。
将别离（近现代·王宸居）	残月犹未坠，当门牵衣袂。相别无他辞，送郎一把泪。
怀古（近现代·王宸居）　　押纸韵	淮水一漂母，濑水一女子。二人俱妇人，都能济穷士。二人俱妇人，都能识国士。噫吁嘻，千古两英雄，千古两女子。
