谢青画作直幅，别为四绝句书之（清末民国初·朱祖谋）　　七言绝句	南垞修竹北垞莲，发兴峥泓似辋川。输与丹青曹霸手，新词百字照琅玕①。
鹧鸪天（清末民国初·朱祖谋）	梦里云屏度几重。兰期犹暖旧欢丛。镫飘绣扇花如睡，歌咽金船酒不醲。春寂寂，恨悤悤。凤城凉信又归鸿。缄情欲托天边月，知道高楼雨是风。
暗香 秋宵倚阑，月华如水，记去年留滞江上，莲史饯我于托鹃水榭，正此日也。伤离念远，不能无言（清末民国初·朱祖谋）	素天烟邈。点去鸿两两，碧云楼角。梦约不来，一剪微波渺难托。伤别伤秋未算，还点鬓、新霜经著。渐逗入、隔岁相思，花底歇深酌。谁觉。背虚幕。正不耐夜吟，玉绳低络。五湖计错。乡国蘋花渐非昨。何况空江画桨，悽荡损、萧娘眉萼。待寄语、江上水，月华又落。
祝英台近（清末民国初·朱祖谋）	烛花凉，炉穗重，妆面半帘记。罗扇恩疏，消得锦机字。绝怜宽褪春衫，窄偎秋被，楚云重、梦扶不起。酒边事。因甚一夕离悰，潘鬓竟星矣。相忆无凭，相怜又无计。愿将心化圆冰，层层摺摺，照伊到、画屏山底。
水龙吟 四印斋赋白芍药，分得肯字（清末民国初·朱祖谋）	宝阑春去多时，玉奴犹倚东风困。浓姿泪洗，伶俜不许，雨酥烟晕。素靥消尘，冰绡委佩，强支娇俊。自谢郎去后，银毫蘸浅，瑶台路，无人问。相谑湔裙未肯，伴酴醾、殿将芳讯。西园后日，蔫红无数。渐吹成粉。何况飞琼，将离歌罢，素鸾无信。向月明空见，一枝凝露，恼新霜鬓。
解连环 七月十四日坐雨有作（清末民国初·朱祖谋）	雨凉无极。傍西池渐浥，画屏猩色。怅倦旅、呼酒阑干，数不断唳鸿，远天如墨。乱叶流红，蓦惊散、鸳鸯踪迹。对飘烟暗烛，罨画古帘，悄然乡国。绿窗已拼怨抑。又天涯树树，哀响搀入。便有约、重梦香丛，怕前地漂花，总凝愁碧。打尽枯荷，几曾减、秋塘波力。但赢得、镜棱泪点，断云共滴。
鹧鸪天 九日丰宜门外过裴村别业（清末民国初·朱祖谋）	野水斜桥又一时。愁心空诉故鸥知。凄迷南郭垂鞭过，清苦西峰侧帽窥。新雪涕，旧弦诗。愔愔门馆蝶来稀。红萸白菊浑无恙，只是风前有所思。
齐天乐 马神庙海棠百年物也。花时寥寂，半塘翁吟忆见贻，依韵报之（清末民国初·朱祖谋）	锦窠春湿红云透，匆匆故宫芳事。冷甃延娇，温泉罢浴，催换东风人世。婵媛梦里。尚刻意新妆，洗烟梳霁。妒极瑶台，玉妃无语正愁悴。绿章惆怅再乞，夜深障滟蜡，心绪无会。怨凤箫寒，嫠蟾幄暗，消尽燕脂浓泪。横陈艳绮。肯输与西廊，媚春桃李。不嫁含章，堕梅馀恨蕊。
乌夜啼 同瞻园登戒坛千佛阁（清末民国初·朱祖谋）	春云深宿虚坛。磬初残。步绕松阴双引出朱阑。吹不断。黄一线。是桑乾。又是夕阳无语下苍山。
梦芙蓉 罗睺岭为趋戒坛谭檀柘分道处，茗憩书壁，用梦窗韵（清末民国初·朱祖谋）	溪霞明断绮。带东风客雁，笋将十里。镜空春路，心绪淡蛾外。泛萸谋野醉。年年催载秋被。盼客山灵，惜愁鬟未整，莺语乱呼起。转首瑶台眼底。疑有双成，结束连环佩。旧尘如梦，还付乱云洗。驻鞍消茗翠。斜阳冷透峰意。未怯春寒，知游仙路近，微步响风水。
绕佛阁（清末民国初·朱祖谋）	绀烟敛霁，香外梵歇，颓照萧寺。珠露飘蕊。惯催俊侣年年贳春醉。画阑再倚。谁料素约，和恨难理。残酹沾地。夜深定有秋魂暗惊起。蠹壁字零落，细数词流空百辈。何况故人伤高当日泪。总冷透西风，邻笛凄异。断鸿知未。有一样西堂，孤坐无睡。绕花阴、梦痕如水。
莺啼序 龙树寺饯别高理臣府丞、张次珊参议，用梦窗丰乐楼韵（清末民国初·朱祖谋）	轻阴傍楼易暝，带春云步绮。画阑绕、冻柳初荑，暗结沈恨天际。细禽唤、年光冉冉，荒波荡晚疑无霁。殢离人、肠断斜阳，絮点飘坠。十载东华，对酒念往，信孤根自倚。镜中路、窥熟西池，楚吟流怨红翠。赋深情、兰荃绣笔，泪花迸、铜仙铅水。惯伤春，蝶悄莺沈，梦醒何世。刘郎老去，咫尺蓬山，倦数旧游美。天外紧、东风一信，绛蕊颠倒，缥缈鹃声，误人归事。银河夜挽，珠宫晨叩，香笺飞出回鸾篆，悄冥冥、海阔星垂地。情丝怨极。长宵雾阁云窗，顿抛乱红嫠纬。横汾旧曲，采石新吟，料画轮正迟。怕点检、炉薰花外，笛谱梅边，酒醒觚棱，凤城十二。东门帐饮，西台车马，江湖头白回望处，惜芳菲、须掩伤高袂。白鸥去矣难驯，燕幕孤栖，荡魂万里。
踏莎行（清末民国初·朱祖谋）	照水单衫，飘香小扇。晚凉愁倚阑干遍。冷鸥三两不归来，镜心一夕红衣变。经醉湖山，伤高心眼。秋来画取芜城怨。谢堂倦客总魂消，无人泪湿西飞燕。
河渎神（清末民国初·朱祖谋）	烛树蜡烟微。花袍白马来时。天吴移海绿尘飞。日夕灵风满旗。湿雾冥冥斑竹院。野鸦如阵回旋。帝子不归秋晚。单衾沈梦铜辇。
菩萨蛮（清末民国初·朱祖谋）	西洲风紧骄禽唳。文梁乳燕栖无地。相望郁金堂。氤氲心字香。芳悰山黛蹙。自转商丝轴。郎意未分明。绿窗閒梦惊。
临江仙（清末民国初·朱祖谋）	花底相思无处说，香残烛烬依依。春寒分付与单栖。比愁量锦瑟，和恨卷罗衣。谁信谢娘香阁畔，天涯锦字凄迷。柳花风起乱莺啼。莫将孤枕泪，寻梦月西时。
遐方怨（清末民国初·朱祖谋）	消粉蠡，减香筒。屈膝铜铺，为君提携团扇风。泣香残露井边桐。一秋辞辇意，袖罗红。
琴调相思引（清末民国初·朱祖谋）	吹梦东风懒似云。占人怀抱是歌颦。雁行低尽，零乱一筝尘。独自意行僵宝瑟，两边閒泪阁罗巾。小帘朱户，依旧去年人。
斗鸡回（清末民国初·朱祖谋）	惊飙吹幕，推枕琼瑰满。玉镜窥，双娥浅。讳说相思，带罗宽一半。江郎恨极天涯，重见怕逢春晚。尺素书，香罗荐。解得连环，半床弦索乱。
玉楼春 其一 分和小山韵，同半塘、伯崇（清末民国初·朱祖谋）	目成已是斜阳暮。谁分合欢花下住。心知明月有圆时，身似断云无定路。当时不合多情遇。风卷红英随水去。莫敧单枕故相寻，梦里已无携手处。
